Sygnatura czasowa,Czy wyrażasz zgodę na udział w badaniu na warunkach opisanych powyżej?  ,Czy chcesz wziąć udział w losowaniu?,Podaj swój pseudonim.,Na pytania z jakich obszarów najczęściej szukasz odpowiedzi?,"(1/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz.","(2/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz.","(3/3) Podaj jedno z pytań, na które odpowiedzi najczęściej szukasz."
2025-10-28 07:08:50,Tak,Tak,Wojtola,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Praktyki studenckie",Kiedy mam egzaminy w tej sesji,Jak rozliczyć praktyki,Kiedy jest najbliższy dodatkowy dzień wolny
2025-10-28 07:21:11,Tak,Tak,Ew,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",Czy muszę realizować w ramach mojego planu studiów przedmiot x?,Kiedy zaczyna się sesja? ,Jakie są warunki urlopu okolicznościowego 
2025-10-28 07:27:18,Tak,Tak,mkwkamil,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne",Co dzieje się w ten weekend na Politechnice Warszawskiej?,Kiedy wypadają dni wolne od studiowania? ,Jak skontaktować się z samorządem
2025-10-28 07:33:42,Tak,Tak,welpa,"Harmonogram roku akademickiego, Plan sesji, Wydarzenia wydziałowe i politechniczne, Parking na MiNI, Wymiany międzynarodowe",Jaki jest harmonogram roku akademickiego,Jaki jest plan zajęć dla informatyki na trzecim semestrze,Gdzie są pokoje do rozmów 
2025-10-28 07:33:53,Tak,Tak,EntuzjastaTramwajów,"Godziny otwarcia dziekanatu, Harmonogram roku akademickiego, Stypendia",Kiedy zaczyna się sesja,Jakie są godziny otwarcia dziekanatu,Ile wynosi stypendium
2025-10-28 07:34:55,Tak,Tak,Karcia,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji",W jakich godzinach mam jutro zajęcia?,Kiedy są wolne dni od zajęć?,W które dni zmienia się plan zajęć?
2025-10-28 07:37:51,Tak,Tak,Kiziak03,"Harmonogram roku akademickiego, Plan sesji, Stypendia, Oferta przedmiotów obieralnych, Parking na MiNI",Parking na MiNI,Plan sesji,Oferta przedmiotów obieralnych
2025-10-28 07:38:07,Tak,Tak,Kombajnator,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego",Kiedy są zajęcia innych grup z danego przedmiotu?,"Kiedy są zajęcia w inny dzień tygodnia, niż naprawdę jest (np. środa w piątek)?",Czy dzień x jest dniem wolnym od zajęć?
2025-10-28 07:54:14,Tak,Tak,XoXoGossipGirl,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji",Czy [x] jest dniem wolnym od zajęć?,Jakie przedmioty mnie obowiązują w tym semestrze?,Jakie i w jakich godzinach są inne grupy zajęciowe/ćwiczeniowe tego samego przedmiotu?
2025-10-28 07:54:46,Tak,Tak,314159265358,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji, Opłata za studia ",Jakie jest konto wydziału dla opłaty w euro?,Jakie są opcje dla pracy magisterskiej?,Jaki jest plan zajęć?
2025-10-28 08:04:56,Tak,Tak,Adora,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",Jakie przedmioty mam na x semestrze studiów i ile jest wtedy godzin,Czy już jest plan zajęć na początku nowego semestru,Kiedy są dni wolne
2025-10-28 08:05:00,Tak,Tak,Mafinka,"Godziny otwarcia dziekanatu, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Obsługa drukarki wydziałowej",Ile ECTS aby zdać semestr?,Gdzie znajdują się drukarki wydziałowe?,Jak obsłużyć drukarkę wydziałową?
2025-10-28 08:07:48,Tak,Tak,elo320,"Plan zajęć, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne",Gdzie zajęcia ma dany prowadzący lub inna grupa,Kiedy są wolne dni,Jakie wydarzenia będą w ciągu najbliższych dni
2025-10-28 08:58:23,Tak,Tak,G4b1,"Godziny otwarcia dziekanatu, Plan studiów, Harmonogram roku akademickiego, Plan sesji",Jakie przedmioty będę mieć w tym semestrze?,W których godzinach otwarty jest dziekanat i kiedy?,Które dni mamy wolne?
2025-10-28 09:00:01,Tak,Tak,Ala,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Wydarzenia wydziałowe i politechniczne",plan zajęć ,plan studiów ,wydarzenia wydziałowe
2025-10-28 09:18:27,Tak,Tak,Olus_masakrator,"Godziny otwarcia dziekanatu, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne, Dziekani (np. kto jest prodziekanem ds. ...), Wymiany międzynarodowe",Godziny otwarcia...,Wydarzenia,Ects
2025-10-28 09:54:09,Tak,Tak,Dagbert ,"Godziny otwarcia dziekanatu, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne, Obsługa drukarki wydziałowej, Dziekani (np. kto jest prodziekanem ds. ...)",Dni wolne od zajęć ,Kiedy mogę wejść do dziekanatu,Jak obsługiwać drukarkę wydziałową 
2025-10-28 10:04:37,Tak,Tak,Zebra,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",Gdzie mogę znaleźć pracowanika X i w jakich godzinach?,"Jakie przedmioty obieralne są dostępne dla mnie pod względem zainteresowań, planu mojego i zajęć wydziału?",Co konkretnie muszę wyrobić na kierunku ISM
2025-10-28 10:07:51,Tak,Tak,AleJez,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji, sprawdzanie stopni i tytułów naukowych prowadzących",Sprawdzanie stopni i tytułów naukowych prowadzących,Plan zajęć,Godziny otwarcia dziekanatu
2025-10-28 10:13:12,Tak,Tak,qwerty123,"Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Obsługa drukarki wydziałowej",Jak korzystać z drukarki ?,gdzie są materiały dydaktyczne dla algebry liniowej?,czy ćwiczenia są obowiązkowe?
2025-10-28 10:22:20,Tak,Tak,R4ken,"Plan zajęć, Plan studiów, Plan sesji, Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych",Ogólny plan zajęć ,Wydarzenia politechniczne,Plan studiów 
2025-10-28 10:30:03,Tak,Tak,YoungYung,"Godziny otwarcia dziekanatu, Plan zajęć, Plan sesji, Praktyki studenckie",Jaki jest kontakt do poszczególnych osób w Dziekanacie?,Jakie dokumenty potrzebne są do rozliczenia praktyk?,Jakie są dostępne zgłoszone tematy prac dyplomowych?
2025-10-28 10:45:45,Tak,Tak,12luki12,"Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych, Obsługa drukarki wydziałowej",Jakie sa terminy uplywaja w tym tygodniu,Co będzie sie działo w najstepnym tygodniu,Jak drukowac i polaczyc sie do internetu
2025-10-28 10:46:50,Tak,Tak,Focaccia,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Wydarzenia wydziałowe i politechniczne",Gdzie znaleźć syllabus przedmiotu?,Gdzie znaleźć syllabus studiów?,Gdzie znaleźć plan zajęć wszystkich grup na kierunku?
2025-10-28 10:49:20,Tak,Tak,Entliczek pentliczek ,"Plan zajęć, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",Jacy profesorowie są w zakładzie równań funkcyjnych? ,kiedy jest najbliższe posiedzenie rady wydziału? ,jaki jest program studiów magisterskich SMAD? 
2025-10-28 11:03:39,Tak,Nie,,Jebać AI,Jebać AI,Jebać AI,Jebać AI
2025-10-28 11:18:12,Tak,Tak,poyo,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji",Jakie są godziny otwarcia dziekanatu?,Jaki jest plan sesji?,Jak wygląda plan studiów mojego kierunku? 
2025-10-28 11:18:24,Tak,Tak,PiotrS,"Godziny otwarcia dziekanatu, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Obsługa drukarki wydziałowej, Dziekani (np. kto jest prodziekanem ds. ...)",Jaki jest plan sesji w tym semestrze,W jakich godzinach otwarty jest dziekanat,Jaki jest numer pokoju danego profesora 
2025-10-28 11:34:54,Tak,Tak,wejj,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji",W której sali są zajęcia,Kiedy kolos,Jaki jest regulamin studiów
2025-10-28 11:40:54,Tak,Tak,tripod,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",jakie przedmioty obieralne mogę wybrać w danym semestrze?,jakie dni są wolne w danym semestrze?,kiedy zaczyna się i kończy sesja?
2025-10-28 11:59:09,Tak,Tak,mickuk,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Stypendia, Oferta przedmiotów obieralnych",Czy po iadzie można pójść na data science (by zaliczyć jakiś przedmiot) bez pełnego i absolutorium i obrony,Czy przedmioty obieralne bonusowe zaliczone na inżynierce można przepisać na magisterkę (robić awansem),"Jaki jest harmonogram roku, kiedy środa jest piątkiem, itd."
2025-10-28 12:01:07,Tak,Tak,Maks w,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Wydarzenia wydziałowe i politechniczne, Stypendia",Szczegóły dotyczące stypendiów ,"Lista przedmiotow, plan zajec","godziny otwarcia dziekanatow, sekretariatow"
2025-10-28 12:06:33,Tak,Nie,,"Harmonogram roku akademickiego, Plan sesji, Obsługa drukarki wydziałowej",Jak wydrukować coś na drukarce wydziałowej z własnego urządzenia,Jak wygląda plan sesji,Kiedy są dni wolne i kiedy są zamienione dni (np. plan wtorkowy w piątek)
2025-10-28 12:21:52,Tak,Tak,Jagoda,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Wymiany międzynarodowe, Praktyki studenckie",Czy w konkretnym dniu są godziny dziekańskie?,Jakie dokumenty należy dostarczyć do dziekanatu w sprawie xyz?,Jakie są warunki wymiany międzynarodowej?
2025-10-28 12:24:48,Tak,Tak,Jmroz,"Plan zajęć, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych",Gdzie znaleźć syllabus dla studiów magisterskich,Ile punktów ects potrzeba do zaliczenia pełnego lub warukowego semestru,Kiedy będzie dostępny plan zajęć na przyszły semestr
2025-10-28 12:33:43,Tak,Tak,hikarim,"Plan studiów, Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne, Stypendia",Jaki jest regulamin przedmiotu ,Jakie sa warunki zdania danego przedmiotu,Ile ectsow ma dany przedmiot
2025-10-28 13:01:10,Tak,Tak,helikopter112,"Godziny otwarcia dziekanatu, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia",U kogo mogę napisać pracę dyplomową,Kiedy zaczyna się sesja,Jakie mam przedmioty w kolejnym semestrze
2025-10-28 13:46:56,Tak,Tak,k_osina,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",W jakie dni danego semestru wypadają dni rektorskie?,Czy został już opublikowany plan sesji?,Czy został już opublikowany plan zajęć kierunku?
2025-10-28 14:17:54,Tak,Tak,Klasz rojal,"Plan sesji, Wydarzenia wydziałowe i politechniczne, Stypendia, Oferta przedmiotów obieralnych, Praktyki studenckie",Kiedy mam egzaminy,Jak złożyć wniosek o stypendium,Gdzie jest palarnia
2025-10-28 14:21:41,Tak,Tak,szym,"Godziny otwarcia dziekanatu, Plan studiów, Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",harmonogram roku akademickiego (kiedy sa dni wolne),jakie przedmioty sa w przyszlych semestrach,co mozna wybrac na wf
2025-10-28 14:28:45,Tak,Tak,Gerant,"Plan zajęć, Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych",Jak wygląda system oceniania na danym przedmiocie?,W której sali mam następne zajęcia?,Czy w tym semestrze muszę rejestrować się na przedmioty obieralne?
2025-10-28 14:31:31,Tak,Tak,mytkom,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia, Dziekani (np. kto jest prodziekanem ds. ...)",O której prodziekan do spraw nauczania ma godziny przyjęć interesantów?,Ile ECTS ma przedmiot X na kierunku studiów Y?,Za co mogę dostać dodatkowe punkty do stypendium rektora?
2025-10-28 14:35:38,Tak,Tak,rzuf1307,"Godziny otwarcia dziekanatu, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",Kiedy w tym roku akademickim występuje wymiana jednego dnia tygodnia na inny?,W jakie dni tygodnia i w jakich godzinach otwarty jest dziekanat?,Jaki jest harmonogram najbliższej sesji?
2025-10-28 15:09:16,Tak,Tak,micaet,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia",Zmiany w planie studiów na kierunku X,Plan zajęć dla kierunku X,Grupy ćwiczeniowe dla przedmiotu X
2025-10-28 15:10:24,Tak,Tak,Michał bez pseudonimu,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji",Plan zajęć w kolejnym semestrze,Plan sesji,Harmonogram roku akademickiego
2025-10-28 16:52:40,Tak,Tak,PRFCT,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji, Praktyki studenckie",Kiedy mogę przyjść do dziekanatu i zadać pytanie lub dostać dokument od ręki (np. zaświadczenie o byciu studentem)?,Za ile ECTS jest dany przedmiot?,Jakie dokumenty potrzebne są do dostarczenia jeżeli chce zaliczyć praktyki studenckie na podstawie umwowy zlecenie?
2025-10-28 17:04:30,Tak,Tak,Daeo,"Godziny otwarcia dziekanatu, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych, połączenie zdalne z siecią wydziałową",Czy *data* jest dniem wolnym od zajęć dydaktycznych?,Jakie i kiedy ma egzaminy informatyka?,jak podłączyć się do sieci wydziałowej?
2025-10-28 18:34:00,Tak,Tak,olvnqa,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji",jaki jest plan zajęć na dany semestr,jaki jest plan sesji,regulamin wymian miedzynarodowych 
2025-10-28 19:07:44,Tak,Tak,johndarksoul,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",W jakich godzinach jest otwarty dziekanat,jaki jest plan zajęć mad,jakie są terminy egzaminów w sesji
2025-10-28 19:22:37,Tak,Nie,,"Plan zajęć, Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",Gdzie odbywają się ćwiczenia lub wykłady,Ile punktów mam z jakiegoś testu,Kiedy są testy
2025-10-28 19:42:42,Tak,Tak,Tymon,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Stypendia",Plan zajęc dla kierunku informatyka i systemy informacyjne ,Jakie warunki trzeba spełnić żeby otrzymać stypendium ,Ile ECTS jest za analize i ile potrzebuję żeby zdać semestr
2025-10-28 19:57:45,Tak,Tak,BigEndian,"Stypendia, Oferta przedmiotów obieralnych, Praktyki studenckie, Zmiana kierunku studiów",Do kiedy trzeba zaliczyć praktyki,Jaka jest oferta przedmiotów obieralnych dla studentów kierunków anglojęzycznych,Za jakie osiągnięcia naukowe przsługuje ile punktów do stypendium
2025-10-28 20:18:44,Tak,Tak,KarolMastalerz,"Plan zajęć, Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",Kiedy mam następne kolokwium?,Ile trzeba mieć punktów ECTS na zdanie?,Ile trzeba mieć punktów ECTS na maksymalną ocenę?
2025-10-28 20:48:45,Tak,Nie,,"Plan studiów, Harmonogram roku akademickiego, Plan sesji, Stypendia",Jakie przedmioty są na roku X kierunku Y?,W jakim terminie można składać podanie o stypendium rektora?,Kiedy rozpoczyna się i kończy sesja w tym semestrze?
2025-10-28 20:53:08,Tak,Tak,piotrekj,"Godziny otwarcia dziekanatu, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Praktyki studenckie",Jak wygląda plan sesji,Kiedy otwarty jest dziekanat,Jakie przedmioty są w moim planie studiów
2025-10-28 21:24:03,Tak,Tak,Meloxy,"Plan studiów, Plan sesji, Wydarzenia wydziałowe i politechniczne, Stypendia, Oferta przedmiotów obieralnych",Efekty uczenia się danych przedmiotów na MiNI,Kiedy są juwenalia/konik/kucyk/otrzęsiny itp ,Które dni są wolne od zajęć/o zmienionym planie na dzień/terminy kolokwiów i egzaminów
2025-10-28 21:57:26,Tak,Tak,EXSY,"Godziny otwarcia dziekanatu, Plan studiów, Oferta przedmiotów obieralnych, Praktyki studenckie, Zmiana kierunku studiów",Do kiedy należy dostarczyć badania lekarskie?,Kiedy należy zapłacić za warunek?,O co chodzi z podpięciami przedmiotów i ogólnie jak to robić?
2025-10-28 23:14:07,Tak,Tak,kazio27,"Plan zajęć, Plan sesji, Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych",Jake przedmioty obieralne są dostępne w bieżącym semestrze?,Na czym polegają (co się robi) na danych przedmiotach obieralnych?,Jakie są bieżące wydarzenia na MiNI?
2025-10-29 01:27:57,Tak,Tak,MateuszPodgorski:3,"Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych","Jakie są moje obowiązki, co muszę zrobić w danym terminie ",Kiedy będę miał jakieś egzaminy ,Jakie są nadchodzące wydarzenia zarówno te naukowe jak i socjalne 
2025-10-29 07:19:27,Tak,Tak,weil,"Plan studiów, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych, Praktyki studenckie",Jakie eventy na mini się zbliżają?,Jaki obierak mam w następnym semestrze do wyboru? i o czym jest?,"Kiedy plan jest zmieniony, np poniedziałek w czwartek?"
2025-10-29 10:21:40,Tak,Tak,Hubert,"Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych, Wymiany międzynarodowe",Na czym polega podpinanie przedmiotów?,Jak wyglada warunkowe zaliczenie przedmiotu,Czego potrzeba aby pojechać na wymiane studencka
2025-10-29 10:30:48,Tak,Tak,nolokon,"Godziny otwarcia dziekanatu, Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",W jakiej sali mam teraz zajęcia?,Kiedy jest otwarty dziekanat?,Jakie mam jutro zajęcia?
2025-10-29 10:44:45,Tak,Tak,yeyeey,"Harmonogram roku akademickiego, Plan sesji, Stypendia, Obsługa drukarki wydziałowej, Dziekani (np. kto jest prodziekanem ds. ...)","Do kogo zgłosić się w konkretnej sprawie, np. IPS, odbiór dyplomu itp.",Jak zarezerwować salę na MiNI,Czy konkretne osiągnięcie naukowe może zostać uznane do zgłoszenia do stypendium rektora
2025-10-29 11:35:57,Tak,Tak,Karpezjusz,"Plan studiów, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne, Obsługa drukarki wydziałowej",Kiedy wypadają w semestrze dni wolne od zajęć?,Jakie są róznice przedmiotowe między kierunkami Matematyka a Matematyka i Analiza Danych?,Jakie przedmioty będę musiał zaliczyć w przyszłości?
2025-10-29 12:08:28,Tak,Tak,pprp,"Plan studiów, Plan sesji, Wydarzenia wydziałowe i politechniczne, Oferta przedmiotów obieralnych, Praktyki studenckie",Jakie będę mieć przedmioty na kolejnym semestrze,Kiedy się odbywa jakiś event?,Kiedy mam egzaminy?
2025-10-29 13:06:45,Tak,Tak,mlody_g,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",zmiany planu (np czwartek to pon),W jakiej sali jest dany egzamin/przedmiot,Za ile ects jest jakis przedmiot obieralny
2025-10-29 16:36:55,Tak,Tak,MMM,"Plan zajęć, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Wydarzenia wydziałowe i politechniczne",Jaki jest plan sesji dla informatyki i systemów informacyjnych?,Ile ECTS mają obecnie przedmioty na n-tym semestrze ISI oraz jakie przedmioty będą na kolejnych semestrach?,Jakie wydarzenia będą odbywać się na MiNI w najbliższych 2 tygodniach?
2025-10-29 18:10:18,Tak,Tak,lojson,"Godziny otwarcia dziekanatu, Plan studiów, Plan sesji, Stypendia, Oferta przedmiotów obieralnych",Jaki jest plan sesji dla studiów magisterskich,Jakie są zasady przyznawania stypendium rektora,Jakie przedmioty na danym kierunku będą za semestr.
2025-10-29 20:02:42,Tak,Tak,seru ,"Plan zajęć, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych, Wymiany międzynarodowe",Jaka jest aktualna oferta przedmiotów obieralnych?,Jakie wymagania na Erasmus?,Co znaczy przypinać przedmiot?
2025-10-29 20:18:48,Tak,Tak,Gabi,"Plan zajęć, Plan studiów, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych",Jak wyglada plan sesji,Ile ects mają dane przedmioty,Ile godzin tygodniowo maja dane przedmioty
2025-10-29 20:53:54,Tak,Tak,sofii,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr)",Które dni w bieżącym roku akademickim są wolne od zajęć?,Jaki jest termin sesji w tym roku?,Jaki jest plan studiów danego kierunku?
2025-10-29 22:50:10,Tak,Tak,rozalka,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji",Jakie dni są wolne podczas roku akademickiego?,Kiedy będzie wydziałowa wigilia?,Jaki jest plan kierunku IAD?
2025-10-29 23:22:27,Tak,Tak,Hanna,"Plan zajęć, Harmonogram roku akademickiego, Wydarzenia wydziałowe i politechniczne",Jak wygląda mój plan zajęć ,Terminy sesji,Jakie są nadchodzące wydarzenia politechniczne 
2025-10-30 09:40:46,Tak,Tak,Antoni Cuch,"Plan studiów, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych, Dziekani (np. kto jest prodziekanem ds. ...)",Jakie są warunki zaliczenia przedmiotów ,Co to są punkty ECTS,Kiedy / czy będą praktyki 
2025-10-30 16:21:21,Tak,Nie,,"Plan zajęć, Plan studiów, Harmonogram roku akademickiego, Plan sesji, Oferta przedmiotów obieralnych",Kiedy są egzaminy w sesji?,Jaki jest plan zajęć na następny semestr?,Kiedy zaczyna się przerwa świąteczna?
2025-10-30 16:49:03,Tak,Tak,Tralalero,"Plan studiów, Harmonogram roku akademickiego, Punkty ECTS (np. ile trzeba ich mieć aby zdać na kolejny semestr), Oferta przedmiotów obieralnych, Parking na MiNI",Jakie przedmioty są na danym kierunku ,Jakie są przedmioty obieralne,Czy jest parking dla studentów
2025-10-30 19:29:29,Tak,Tak,Lavinia,"Stypendia, Oferta przedmiotów obieralnych, Praktyki studenckie",Will university provide opportunity for students who wants to do internship,Which financial opportunities will be provided for students who wants to do Erasmus on abroad ,Does university provide taking multiple language courses at the same time for polyglot students ?
2025-10-30 19:41:49,Tak,Tak,Johnny Guitar,"Godziny otwarcia dziekanatu, Plan zajęć, Plan studiów, Plan sesji",Ile kosztuje warunek,Jakie są warunki wznowienia,Lista pytań na obronę
