pytanie,odpowiedz_wygenerowana
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Analiza funkcjonalna"" na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?",Za zaliczenie przedmiotu Analiza funkcjonalna na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych można uzyskać 5 punktów ECTS.
"Jakie przedmioty są wymagane jako wstępne do zapisania się na przedmiot ""Gry kombinatoryczne""?","Wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
Czego dotyczy efekt uczenia się o symbolu MAD2SMAD_U01 na specjalności Statystyka matematyczna i analiza danych?,"dostępnych zasobach nie ma szczegółowego opisu efektu uczenia się o symbolu MAD2SMAD_U01 dla specjalności Statystyka matematyczna i analiza danych. Z posiadanych danych wynika jedynie, że umiejętność U01 odnosi się do efektów uczenia się SMAD_U03 oraz SMAD_U04.""
    *   Let'"
Kto może zgłosić pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,"Do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych można zgłaszać prace magisterskie obronione na uczelni wyższej w Polsce. W zgłoszeniu konkursowym należy podać informacje o dacie obrony pracy magisterskiej, a także o wydziale i uczelni, na której została ona obroniona."
"Ile punktów można maksymalnie zdobyć z przedmiotu ""Systemy wspomagania decyzji"" i ile wynosi próg punktowy niezbędny do jego zaliczenia?","Maksymalna liczba punktów, jaką można zdobyć z przedmiotu Systemy wspomagania decyzji, wynosi 100 punktów. Próg punktowy niezbędny do jego zaliczenia wynosi 51 punktów."
Jakie wsparcie finansowe otrzymuje student uczestniczący w projekcie „Szkoła Orłów na PW”?,"Student uczestniczący w projekcie „Szkoła Orłów na PW” otrzymuje wsparcie stypendialne w wysokości 1370,70 zł miesięcznie. Dodatkowo uczestnikowi przysługuje jednorazowy dodatek na pomoce dydaktyczne w kwocie 200 zł brutto."
Pod jakim numerem telefonu studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów?,Studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów pod numerem telefonu 22 234-59-22.
"Na którym semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych realizowany jest przedmiot ""Wstęp do uczenia maszynowego""?",Nie mam tej informacji w dostępnych zasobach.
Do kiedy należy składać wnioski o stypendium Ministra na rok akademicki 2025/2026?,Wnioski o stypendium Ministra na rok akademicki 2025/2026 należy składać do 15 października 2025 roku (środa).
Jakie funkcje uczelniane na Politechnice Warszawskiej pełni dr inż. Krzysztof Kaczmarski?,"Dr inż. Krzysztof Kaczmarski pełni na Politechnice Warszawskiej wiele istotnych funkcji. Na Wydziale Matematyki i Nauk Informacyjnych sprawuje funkcję prodziekana do spraw nauczania oraz jest członkiem Rady Wydziału. Jest przewodniczącym Komisji Programowej dla kierunku Informatyka i Systemy Informacyjne, przewodniczącym Wydziałowej Komisji Rekrutacyjnej dla tego samego kierunku, a także członkiem Komisji Programowej dla kierunku Inżynieria i Analiza Danych. W obszarze jakości kształcenia pełni funkcję pełnomocnika dziekana do spraw zapewnienia jakości kształcenia oraz przewodniczącego Dziekańskiej Komisji do spraw Jakości Kształcenia. Na poziomie uczelnianym jest członkiem Senackiej Komisji do spraw Kształcenia oraz Uczelnianej Rady do spraw Jakości Kształcenia. Dodatkowo pracuje jako adiunkt w Zakładzie Systemów Przetwarzania Informacji."
Kto pełni funkcję Pełnomocnika Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI?,Funkcję Pełnomocnika Dziekana do spraw osób z niepełnosprawnościami na Wydziale Matematyki i Nauk Informacyjnych pełni mgr Ewelina Szczęsna.
Kto może ubiegać się o stypendium socjalne w zwiększonej wysokości?,"O stypendium socjalne w zwiększonej wysokości może ubiegać się student, którego miesięczny dochód na osobę w rodzinie nie przekracza kwoty 1908,90 zł netto, i który jest uprawniony do otrzymywania podstawowego stypendium socjalnego. Dodatkowo student musi spełniać określone warunki, do których należy zakwaterowanie w domu studenckim Politechniki Warszawskiej, domu studenckim innej uczelni (pod warunkiem przedstawienia odpowiedniego zaświadczenia) lub w innym obiekcie (pod warunkiem przedstawienia umowy najmu), jeżeli codzienny dojazd z miejsca stałego zamieszkania do uczelni uniemożliwia lub w znacznym stopniu utrudnia studiowanie. O przyznanie świadczenia można ubiegać się również w innych szczególnie uzasadnionych przypadkach, takich jak przewlekła choroba studenta lub członka jego rodziny, która ma wpływ na sytuację materialną rodziny."
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent mają obowiązek zamieścić recenzje pracy w systemie APD?,Promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
"Ile punktów ECTS należy minimalnie uzyskać do końca zimowej lub jesiennej sesji egzaminacyjnej, aby otrzymać rejestrację na trzeci semestr studiów pierwszego stopnia?","Aby otrzymać rejestrację na trzeci semestr studiów pierwszego stopnia, należy uzyskać co najmniej 40 punktów ECTS. Wymóg ten dotyczy wszystkich kierunków studiów pierwszego stopnia i odnosi się do rejestracji po sesji egzaminacyjnej."
"Który dokument związany z realizacją praktyk studenckich jako jedyny musi zostać obowiązkowo dostarczony na uczelnię w formie papierowej, o ile nie jest podpisany kwalifikowanym podpisem elektronicznym?","Dokumentem związanym z realizacją praktyk studenckich, który jako jedyny musi zostać dostarczony na uczelnię w formie papierowej, o ile nie zostanie podpisany kwalifikowanym podpisem elektronicznym, jest Porozumienie o organizacji obowiązkowych praktyk studenckich. Dokument ten jest przygotowywany przez Pełnomocnika ds. Praktyk Studenckich w trzech egzemplarzach i przekazywany studentowi w celu przedłożenia do podpisu reprezentantowi podmiotu zewnętrznego, w którym odbywana jest praktyka."
Z jakimi konsekwencjami wiąże się stwierdzenie niesamodzielnej pracy studenta lub korzystanie z niedozwolonych materiałów czy urządzeń podczas sprawdzianu?,"Zgodnie z paragrafem 19 punkt 4 Regulaminu studiów w Politechnice Warszawskiej, jeżeli podczas weryfikacji osiągnięcia efektów uczenia się zostanie stwierdzona niesamodzielność pracy studenta lub korzystanie przez niego z materiałów lub urządzeń innych niż dozwolone w regulaminie przedmiotu, student uzyskuje ocenę niedostateczną. Dodatkowo w przypadku stwierdzenia niesamodzielności pracy student traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji."
"Do kogo skierowany jest elitarny program ""Studia id""?","Program studiów id na Politechnice Warszawskiej skierowany jest do najlepszych kandydatów na studia stacjonarne I i II stopnia, w tym do laureatów oraz finalistów olimpiad matematycznej, fizycznej, chemicznej, informatycznej i astronomicznej. Program ten jest również przeznaczony dla studentów, którzy osiągnęli najlepsze wyniki po ukończeniu studiów I stopnia."
"Czy absolwenci studiów I stopnia z innych uczelni mogą przepisać praktyki zrealizowane na swoich macierzystych uczelniach jako zaliczenie przedmiotu ""Praktyki""?","Nie ma możliwości przepisania praktyk jako przedmiotu z innych uczelni. Absolwenci innych uczelni, którzy zrealizowali praktyki na studiach pierwszego stopnia, muszą złożyć dokumenty zgodnie z jedną z trzech form zaliczenia praktyk, aby ubiegać się o ich zaliczenie."
Kto ufundował stypendium dla najlepszego laureata Powszechnego Internetowego Konkursu z matematyki pochodzącego spoza dużego miasta?,"W dostępnych zasobach nie ma informacji o tym, kto ufundował stypendium dla najlepszego laureata Powszechnego Internetowego Konkursu z matematyki pochodzącego spoza dużego miasta."
W jaki sposób należy składać podanie o urlop zdrowotny lub urlop okolicznościowy?,"Podanie o urlop zdrowotny oraz podanie o urlop okolicznościowy należy złożyć za pośrednictwem systemu USOSweb, w którym dostępne są odpowiednie formularze wniosków. Do uzasadnienia wniosku można dołączyć historię choroby lub inne dokumenty potwierdzające zdarzenie będące podstawą do ubiegania się o dany urlop."
"Jakie kryteria oceniania obowiązują na przedmiocie ""Matematyka popularna""?","Zaliczenie przedmiotu Matematyka popularna odbywa się na ocenę, a kryteria oceniania opierają się na wygłoszeniu referatu, pisemnym opracowaniu oraz aktywności na zajęciach. W ramach stosowanych metod oceniania studenci mogą uzyskać maksymalnie 100 punktów. Na tę sumę składa się między innymi ocena prezentacji, jej poprawności merytorycznej oraz sposobu przedstawienia, za co można otrzymać maksymalnie 30 punktów. Dodatkowo oceniana jest aktywność uczestnika w czasie wystąpień innych studentów, za którą można uzyskać maksymalnie 20 punktów."
Czy student może ubiegać się o dofinansowanie kosztów związanych z odbywaniem obowiązkowych praktyk studenckich?,"Tak, student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania oraz dojazdów. Należy jednak pamiętać, że dofinansowanie poniesionych kosztów nie przysługuje studentowi, który uzyskał zaliczenie praktyk na podstawie §7 regulaminu."
"Na którym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych realizowany jest przedmiot ""Wstęp do eksploracji danych""?",Przedmiot Wstęp do eksploracji danych na studiach pierwszego stopnia na kierunku Matematyka i Analiza Danych jest realizowany na czwartym semestrze.
"Jakie są warunki zaliczenia przedmiotu ""Gry kombinatoryczne""?",""" - end of response.

    Let's review the context again:
    - ""Warunkiem zaliczenia przedmiotu GRY KOMBINATORYCZNE jest zaliczenie projektu i zdanie egzaminu końcowego.""
    - ""Warunkiem zaliczenia ćwiczeń jest wykonanie co najmniej 50% zadań domowych."""
"Jaki przedmiot jest wymagany jako wstępny przed rozpoczęciem realizacji przedmiotu obieralnego ""Programowanie w języku asemblera""?",Wymaganiem wstępnym przed rozpoczęciem realizacji przedmiotu obieralnego Programowanie w języku asemblera jest zaliczenie przedmiotu Programowanie 2 – obiektowe.
"Ile punktów minimum trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?","w za projekt.""
        *   ""Ocena na podstawie realizowanego projektu do zdobycia maksymalnie 100 punktów.""
        *   ""Zaliczenie ćwiczeń wymaga zdobycia minimum 35 punktów.""
    *   Wait, ""Nazwa przedmiotu to Systemy wspomagania decyzji."" is immediately followed by ""Metody i kryteria"
Jakie rodzaje pytań zadaje Komisja studentowi w toku indywidualnego egzaminu dyplomowego?,W toku indywidualnego egzaminu dyplomowego Komisja zadaje studentowi trzy pytania. Są to pytania dotyczące pracy dyplomowej oraz pytania problemowe z zakresu ukończonego programu studiów.
Jaki jest numer telefonu do dziekanatu w sprawach toku studiów dla studentów kierunku Informatyka i Systemy Informacyjne?,Numer telefonu do dziekanatu w sprawach toku studiów dla studentów kierunku Informatyka i Systemy Informacyjne to 22 234-53-63.
"Na jakim stopniu studiów realizowany jest przedmiot obieralny ""Siła nauki - granice poznania""?","Przedmiot obieralny Siła nauki - granice poznania jest realizowany na studiach drugiego stopnia, czyli na stopniu magisterskim."
Ile punktów ECTS jest przypisanych do pracy dyplomowej na szóstym semestrze studiów pierwszego stopnia na kierunku Matematyka?,Na kierunku Matematyka i Nauk Informacyjnych (studia licencjackie pierwszego stopnia) w szóstym semestrze do przedmiotu Praca dyplomowa przypisanych jest 15 punktów ECTS.
Jaki jest maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026?,"Maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026 wynosi 1 908,90 zł netto."
Czy student ma obowiązek złożyć wydrukowany egzemplarz pracy dyplomowej w dziekanacie?,Student nie ma obowiązku składania wydrukowanego egzemplarza pracy dyplomowej w dziekanacie. W dziekanacie nie składa się papierowej wersji pracy dyplomowej. Student ma obowiązek przekazania pracy dyplomowej do promotora poprzez system informatyczny.
"Ile punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr na studiach pierwszego stopnia?","Aby zarejestrować się na trzeci semestr na studiach pierwszego stopnia, należy uzyskać co najmniej 40 punktów ECTS z 60 punktów możliwych do zdobycia na pierwszym roku studiów. Rejestracja po jesiennej sesji egzaminacyjnej we wrześniu wymaga uzyskania właśnie takiego dorobku punktowego dla wszystkich kierunków studiów pierwszego stopnia."
"Jaką minimalną średnią ważoną ocen trzeba uzyskać na pierwszym roku studiów, aby móc ubiegać się o udział w projekcie ""Szkoła Orłów na PW""?","Aby móc ubiegać się o udział w projekcie „Szkoła Orłów na PW”, należy uzyskać na pierwszym roku studiów średnią ważoną ocen wynoszącą co najmniej 4,2."
Jakie są konsekwencje niesamodzielnej pracy lub korzystania z niedozwolonych urządzeń podczas sprawdzianu?,"Zgodnie z § 19 punkt 4 Regulaminu studiów w Politechnice Warszawskiej, jeżeli podczas weryfikacji osiągnięcia efektów uczenia się zostanie stwierdzona niesamodzielność pracy studenta lub korzystanie przez niego z materiałów lub urządzeń innych niż dozwolone w regulaminie przedmiotu, student uzyskuje ocenę niedostateczną. Ponadto stwierdzenie niesamodzielności pracy skutkuje utratą prawa do zaliczenia przedmiotu w jego bieżącej realizacji."
Czy porozumienie o organizacji praktyk studenckich można dostarczyć do dziekanatu w postaci skanu?,"W dostępnych zasobach nie ma informacji o tym, czy porozumienie o organizacji praktyk studenckich można dostarczyć do dziekanatu w postaci skanu. Z posiadanych danych wynika, że Pełnomocnik ds. Praktyk przygotowuje Porozumienie o organizacji obowiązkowych praktyk studenckich w trzech egzemplarzach, które następnie student przek"
W jakim pokoju w Gmachu MiNI przyjmuje dr inż. Magdalena Jasionowska-Skop?,"Dr inż. Magdalena Jasionowska-Skop przyjmuje w pokoju 556, który znajduje się w Gmachu MiNI na Kampusie Głównym Politechniki Warszawskiej."
"Ile punktów ECTS jest przypisanych do pracy dyplomowej na czwartym semestrze studiów drugiego stopnia na kierunku Matematyka, na specjalności Indywidualne Studia Matematyczne?",Nie mam tej informacji w dostępnych zasobach.
W jakiej formie należy składać podanie o urlop zdrowotny?,"Podanie o urlop zdrowotny jest dostępne w systemie USOSweb, natomiast składanie dokumentów odbywa się drogą mailową. Wzór wniosku o udzielenie urlopu zdrowotnego określają wewnętrzne akty prawne Uczelni."
Do czego służy system Fair Play na Wydziale MiNI?,System Fair Play na Wydziale Matematyki i Nauk Informacyjnych służy do ograniczania komunikacji elektronicznej oraz zapobiegania ściąganiu podczas zajęć i punktowanych zaliczeń w laboratoriach komputerowych.
"Ile minimum punktów trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?",Nie mam tej informacji w dostępnych zasobach.
Z kim Dziekan ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studentów odbywających praktyki poza stałym miejscem zamieszkania?,Dziekan ustala zasady dofinansowania poniesionych kosztów w porozumieniu z Wydziałową Radą Samorządu Studentów.
Czy dziekanat Wydziału MiNI jest otwarty dla studentów w środy?,"Nie, dziekanat Wydziału Matematyki i Nauk Informacyjnych Politechniki Warszawskiej jest nieczynny w środy. W pozostałe dni powszednie, czyli w poniedziałki, wtorki, czwartki oraz piątki, dziekanat jest otwarty dla studentów w godzinach od 11:00 do 14:00."
Czy do dziekanatu należy dostarczyć wydrukowany egzemplarz pracy dyplomowej?,"Nie, do dziekanatu nie należy dostarczać wydrukowanego ani papierowego egzemplarza pracy dyplomowej. Student ma obowiązek przekazania pracy dyplomowej do promotora poprzez system informatyczny, załączając pliki z pracą w formacie PDF."
Ile razy w roku akademickim student może otrzymać zapomogę?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
"O ile miesięcy studenci ostatniego semestru mogą przedłużyć termin złożenia pracy dyplomowej, jeśli zrealizowali cały program studiów?","Studenci ostatniego semestru studiów, którzy zrealizowali cały program studiów, mogą ubiegać się o przedłużenie terminu złożenia pracy dyplomowej o maksymalnie trzy miesiące."
Do kogo pracownik uczelni składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na Wydziale MiNI?,"Pracownik uczelni składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych do Prodziekana ds. Studenckich, którym obecnie jest dr hab. inż. Agata Pilitowska, prof. uczelni."
"Ile minimum punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr studiów drugiego stopnia?","Aby zarejestrować się na trzeci semestr studiów drugiego stopnia na wszystkich kierunkach i specjalnościach, wymagane jest uzyskanie co najmniej 48 punktów ECTS z 60 możliwych do zdobycia."
Jaki dokument tożsamości powinien leżeć na stole studenta podczas sprawdzianu lub egzaminu na Wydziale MiNI?,"Podczas sprawdzianu lub egzaminu na Wydziale Matematyki i Nauk Informacyjnych na stole studenta powinna znajdować się ważna legitymacja studencka lub inny dokument tożsamości ze zdjęciem, który umożliwia potwierdzenie tożsamości osoby przystępującej do zaliczenia."
"W którym semestrze studiów pierwszego stopnia na kierunku Matematyka realizowany jest przedmiot ""Modelowanie matematyczne""?","Przedmiot ""Modelowanie matematyczne"" na studiach pierwszego stopnia na kierunku Matematyka jest realizowany w semestrze 6."
W jakiej formie należy złożyć podanie o urlop zdrowotny?,"Podanie o urlop zdrowotny jest dostępne w systemie USOSweb. Wzór wniosku o udzielenie tego urlopu określają wewnętrzne akty prawne Uczelni, a sam urlop jest udzielany przez dziekana na podstawie orzeczenia uprawnionego lekarza."
Jaki jest numer telefonu służbowego do dr. inż. Krzysztofa Kaczmarskiego?,Numer telefonu służbowego do dr. inż. Krzysztofa Kaczmarskiego to (22) 234 5923.
"W jakim języku prowadzone są zajęcia z przedmiotu obieralnego ""Algorytmy Probabilistyczne""?",Zajęcia z przedmiotu obieralnego Algorytmy Probabilistyczne są prowadzone w języku angielskim.
Ile punktów ECTS jest przypisanych do pracy dyplomowej w planie studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?,Nie mam tej informacji w dostępnych zasobach.
Kto na wydziale sporządza zbiorcze podsumowanie oceny wiedzy i umiejętności studentów z punktu widzenia pracodawców?,Zbiorcze podsumowanie oceny wiedzy i umiejętności studentów z punktu widzenia pracodawców sporządza Pełnomocnik ds. Praktyk na podstawie ankiet przekazanych przez studentów.
Ile kosztuje wydanie duplikatu elektronicznej legitymacji studenckiej?,"Koszt wydania duplikatu elektronicznej legitymacji studenckiej wynosi 25,50 zł lub 33,00 zł, w zależności od przepisów mających zastosowanie do danego toku studiów."
"Jakie są przedmioty poprzedzające (wymagania wstępne) dla przedmiotu ""Gry kombinatoryczne""?","Wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
"Jakie dokumenty są potrzebne, aby dołączyć do Szkoły Orłów?","Aby zgłosić się do projektu Szkoła Orłów na PW, należy złożyć następujące dokumenty: wypełniony formularz rekrutacyjny, potwierdzenie średniej ocen na pierwszym roku studiów, podpisaną opinię wybranego wykładowcy, zaświadczenie o uczestnictwie w studiach magisterskich lub doktoranckich w dyscyplinie matematyka lub informatyka z podaniem aktualnego semestru studiów, odpis dyplomu ukończenia studiów pierwszego stopnia w przypadku studentów lub drugiego stopnia w przypadku doktorantów, a także życiorys uwzględniający posiadane wykształcenie oraz doświadczenie badawcze."
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent powinni zamieścić recenzję w systemie APD?,Promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed wyznaczonym terminem egzaminu dyplomowego.
Ile razy w ciągu roku akademickiego student może otrzymać zapomogę?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
Ile wynosi nagroda za zajęcie pierwszego miejsca w Ogólnopolskim konkursie na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,Nagroda za zajęcie pierwszego miejsca w Ogólnopolskim konkursie na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych wynosi 4 000 zł w każdej kategorii.
Pod jakim numerem telefonu można skontaktować się z dziekanatem Wydziału MiNI w sprawach związanych z systemem USOS oraz rekrutacją?,W sprawach związanych z systemem USOS oraz rekrutacją z dziekanatem Wydziału Matematyki i Nauk Informacyjnych można skontaktować się pod numerem telefonu 22 234-59-24.
"Ile punktów ECTS należy uzyskać, aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia?","Aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia, należy uzyskać co najmniej 40 punktów ECTS. Rejestracja po jesiennej sesji egzaminacyjnej we wrześniu wymaga zdobycia co najmniej 40 punktów ECTS z 60 możliwych do uzyskania na pierwszym roku studiów."
W jakim terminie należy złożyć wniosek o stypendium Ministra za znaczące osiągnięcia?,Wniosek o stypendium Ministra za znaczące osiągnięcia należy złożyć w terminie do 15 października (środa) 2025 roku. Wnioski te są składane za pośrednictwem Systemu ZSUN/OSF.
Jakie dokumenty potwierdzające tożsamość powinny leżeć na stole studenta podczas sprawdzianu lub egzaminu?,Podczas sprawdzianu lub egzaminu na stole studenta powinna leżeć osobista legitymacja studencka lub dowód osobisty.
W jaki sposób student powinien złożyć podanie o urlop zdrowotny?,"Student powinien złożyć podanie o urlop zdrowotny drogą elektroniczną, korzystając z systemu USOSweb, w którym dostępny jest odpowiedni formularz wniosku. Wniosek należy złożyć niezwłocznie po zaistnieniu przyczyny uzasadniającej ubieganie się o urlop. Wzór wniosku o udzielenie urlopu zdrowotnego określają wewnętrzne akty prawne Uczelni, a decyzję o jego przyznaniu podejmuje dziekan na wniosek studenta."
W jakim zakładzie pracuje dr inż. Magdalena Jasionowska-Skop?,Dr inż. Magdalena Jasionowska-Skop pracuje w Zakładzie Projektowania Systemów CAD/CAM i Komputerowego Wspomagania Medycyny.
Ile punktów ECTS jest przypisanych do przedmiotu Modelowanie matematyczne w planie studiów pierwszego stopnia na kierunku Matematyka?,"Nie posiadam w dostępnych zasobach informacji o liczbie punktów ECTS przypisanych do przedmiotu Modelowanie matematyczne na kierunku Matematyka pierwszego stopnia. W materiałach źródłowych znajduje się jedynie informacja, że na kierunku Matematyka i Nauk Informacyjnych (studia licencjackie) przedmiot ten jest wart 4 punkty ECTS."
W jakiej formie student powinien dostarczyć porozumienie dotyczące praktyk studenckich?,"Student powinien dostarczyć porozumienie dotyczące praktyk studenckich w formie trzech egzemplarzy. Każdy egzemplarz musi być podpisany zarówno przez pracodawcę, jak i przez studenta. Podpisane dokumenty należy przekazać Pełnomocnikowi do spraw Praktyk."
Ile wynosi opłata za wydanie duplikatu elektronicznej legitymacji studenckiej?,"Opłata za wydanie duplikatu elektronicznej legitymacji studenckiej wynosi 33,00 zł lub 25,50 zł, w zależności od wysokości opłaty za wydanie oryginału tego dokumentu."
W jakim terminie zespół rozpoczyna realizację pracy dyplomowej inżynierskiej?,"Zespół rozpoczyna realizację pracy dyplomowej inżynierskiej w ramach zajęć z przedmiotu projekt zespołowy, który jest prowadzony w pierwszej połowie ostatniego semestru studiów pierwszego stopnia."
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent muszą zamieścić recenzje pracy w systemie APD?,Promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed wyznaczonym terminem egzaminu dyplomowego.
Jakie przedmioty są wymagane jako wstępne przed zapisaniem się na przedmiot Gry kombinatoryczne?,"Wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
Ile maksymalnie punktów można uzyskać za aktywność w czasie wystąpień kolegów na przedmiocie Matematyka popularna?,Za aktywność w czasie wystąpień kolegów na przedmiocie Matematyka popularna można uzyskać maksymalnie 20 punktów.
"Jaki jest maksymalny próg dochodowy netto na osobę w rodzinie, aby student mógł ubiegać się o stypendium socjalne?","Maksymalny próg dochodowy netto na osobę w rodzinie, uprawniający studenta Politechniki Warszawskiej do ubiegania się o stypendium socjalne w roku akademickim 2025/2026, wynosi 1 908,90 zł."
Czy podczas sprawdzianu student może używać urządzenia komunikacyjnego jako kalkulatora?,"Podczas sprawdzianu student nie może używać urządzenia umożliwiającego komunikację jako kalkulatora. Zgodnie z obowiązującymi zasadami, żadne urządzenia umożliwiające komunikację w żadnym wypadku nie mogą służyć jako zegarki lub kalkulatory. Wszelkie urządzenia poza niezbędnymi do przeprowadzenia sprawdzianu lub egzaminu powinny być wyłączone i odłożone do toreb."
"Ile punktów ECTS trzeba uzyskać, aby zarejestrować się na drugi semestr na studiach pierwszego stopnia?","Aby zarejestrować się na drugi semestr na studiach pierwszego stopnia, należy uzyskać co najmniej 16 punktów ECTS."
W jakiej sytuacji student może ubiegać się o dofinansowanie kosztów odbywania praktyk studenckich?,"Student może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania oraz dojazdów w sytuacji, gdy odbywa praktykę studencką poza swoim stałym miejscem zamieszkania oraz poza siedzibą uczelni."
Ile punktów ECTS przypisano do przedmiotu Siła nauki - granice poznania?,Do przedmiotu Siła nauki - granice poznania przypisano 4 punkty ECTS.
W jakich pokojach znajduje się gabinet dr. inż. Krzysztofa Kaczmarskiego?,Gabinet dr. inż. Krzysztofa Kaczmarskiego znajduje się w pokoju 28 w Gmachu MiNI na Kampusie Głównym Politechniki Warszawskiej.
