pytanie|odpowiedz
Czego dotyczy efekt uczenia się o symbolu MAD2SMAD_U01 na specjalności Statystyka matematyczna i analiza danych?|Zgodnie z wykazem, efekt MAD2SMAD_U01 oznacza, że absolwent umie badać własności wielowymiarowego rozkładu normalnego, a także potrafi wyznaczać estymatory oraz weryfikować hipotezy w wielowymiarowym modelu normalnym.
Kto może zgłosić pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?|Pracę do konkursu może zgłosić wyłącznie autor pracy magisterskiej za zgodą promotora.
"Ile punktów można maksymalnie zdobyć z przedmiotu ""Systemy wspomagania decyzji"" i ile wynosi próg punktowy niezbędny do jego zaliczenia?"|"Z przedmiotu ""Systemy wspomagania decyzji"" można uzyskać maksymalnie 100 punktów. Aby zaliczyć ten przedmiot, konieczne jest zdobycie minimum 51 punktów."
Jakie wsparcie finansowe otrzymuje student uczestniczący w projekcie „Szkoła Orłów na PW”?|Uczestnik projektu otrzymuje wsparcie stypendialne w wysokości 1370,70 zł miesięcznie oraz jednorazowy dodatek na pomoce dydaktyczne w kwocie 200 zł brutto.
Pod jakim numerem telefonu studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów?|Studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów pod numerem telefonu 22 234-59-22.
"Na którym semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych realizowany jest przedmiot ""Wstęp do uczenia maszynowego""?"|"Przedmiot ""Wstęp do uczenia maszynowego"" realizowany jest na piątym semestrze studiów."
Do kiedy należy składać wnioski o stypendium Ministra na rok akademicki 2025/2026?|Termin składania wniosków o stypendium Ministra mija 15 października 2025 roku. Wnioski należy złożyć za pośrednictwem systemu ZSUN/OSF.
Jakie funkcje uczelniane na Politechnice Warszawskiej pełni dr inż. Krzysztof Kaczmarski?|Dr inż. Krzysztof Kaczmarski pełni funkcje Członka Uczelnianej Rady ds. Jakości Kształcenia oraz Członka Senackiej Komisji ds. Kształcenia.
Kto pełni funkcję Pełnomocnika Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI?|Funkcję Pełnomocnika Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI pełni mgr Ewelina Szczęsna.
Kto może ubiegać się o stypendium socjalne w zwiększonej wysokości?|O stypendium socjalne w zwiększonej wysokości może ubiegać się student, który pobiera już stypendium socjalne i zamieszkuje w domu studenckim (lub innym obiekcie), a codzienny dojazd z jego miejsca stałego zamieszkania poza Warszawą uniemożliwia lub w znacznym stopniu utrudnia mu studiowanie.
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent mają obowiązek zamieścić recenzje pracy w systemie APD?|Zgodnie z regulaminem studiów w PW, promotor oraz recenzent muszą zamieścić recenzje pracy dyplomowej w systemie APD na co najmniej 3 dni przed zaplanowanym terminem egzaminu dyplomowego.
Ile punktów ECTS należy minimalnie uzyskać do końca zimowej lub jesiennej sesji egzaminacyjnej, aby otrzymać rejestrację na trzeci semestr studiów pierwszego stopnia?|Zgodnie z zasadami rejestracji na kolejny etap studiowania, student pierwszego stopnia musi uzyskać co najmniej 40 punktów ECTS, aby otrzymać rejestrację na trzeci semestr studiów.
Który dokument związany z realizacją praktyk studenckich jako jedyny musi zostać obowiązkowo dostarczony na uczelnię w formie papierowej, o ile nie jest podpisany kwalifikowanym podpisem elektronicznym?|Jedynym dokumentem, który koniecznie trzeba dostarczyć w formie papierowej (nie może to być skan), jest porozumienie.
Z jakimi konsekwencjami wiąże się stwierdzenie niesamodzielnej pracy studenta lub korzystanie z niedozwolonych materiałów czy urządzeń podczas sprawdzianu?|W takiej sytuacji student uzyskuje ocenę niedostateczną i traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji.
"Do kogo skierowany jest elitarny program ""Studia id""?"|"Program ""Studia id"" jest przeznaczony dla laureatów i finalistów wybranych olimpiad (matematycznej, fizycznej, chemicznej, informatycznej i astronomicznej) oraz dla studentów osiągających najlepsze wyniki po ukończeniu pierwszego stopnia studiów."
"Czy absolwenci studiów I stopnia z innych uczelni mogą przepisać praktyki zrealizowane na swoich macierzystych uczelniach jako zaliczenie przedmiotu ""Praktyki""?"|Nie, nie ma możliwości przepisania praktyk jako przedmiotu z innych uczelni. Absolwenci innych uczelni muszą złożyć dokumenty zgodnie z jedną z trzech obowiązujących form zaliczenia praktyk.
Kto ufundował stypendium dla najlepszego laureata Powszechnego Internetowego Konkursu z matematyki pochodzącego spoza dużego miasta?|Stypendium dla najlepszego laureata konkursu pochodzącego spoza dużego miasta ufundowała Fundacja Rodziny Maciejko.
W jaki sposób należy składać podanie o urlop zdrowotny lub urlop okolicznościowy?|"Podanie o urlop zdrowotny lub urlop okolicznościowy należy składać w formie elektronicznej za pośrednictwem systemu USOSweb, wybierając opcję ""Dla studentów"", a następnie ""Podania ePW""."
"Jakie kryteria oceniania obowiązują na przedmiocie ""Matematyka popularna""?"|Oceniana jest prezentacja pod kątem poprawności merytorycznej oraz sposobu przedstawienia (maksymalnie 30 punktów). Na ocenę wpływa również aktywność studenta w czasie wystąpień innych uczestników (maksymalnie 20 punktów).
Czy student może ubiegać się o dofinansowanie kosztów związanych z odbywaniem obowiązkowych praktyk studenckich?|Tak, student odbywający praktykę poza swoim stałym miejscem zamieszkania i siedzibą Uczelni może ubiegać się o dofinansowanie poniesionych i odpowiednio udokumentowanych kosztów zakwaterowania oraz dojazdów.
"Na którym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych realizowany jest przedmiot ""Wstęp do eksploracji danych""?"|"Przedmiot ""Wstęp do eksploracji danych"" realizowany jest na czwartym semestrze studiów."
"Jakie są warunki zaliczenia przedmiotu ""Gry kombinatoryczne""?"|Warunkiem zaliczenia przedmiotu jest zaliczenie projektu i zdanie egzaminu końcowego.
"Jaki przedmiot jest wymagany jako wstępny przed rozpoczęciem realizacji przedmiotu obieralnego ""Programowanie w języku asemblera""?"|"Wymaganiem wstępnym do realizacji przedmiotu ""Programowanie w języku asemblera"" jest wcześniejsze zaliczenie przedmiotu ""Programowanie 2 - obiektowe""."
"Ile punktów minimum trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?"|"Na zaliczenie przedmiotu ""Systemy wspomagania decyzji"" konieczne jest uzyskanie minimum 51 punktów na 100 maksymalnych."
Jakie rodzaje pytań zadaje Komisja studentowi w toku indywidualnego egzaminu dyplomowego?|Podczas egzaminu dyplomowego Komisja ocenia odpowiedzi dyplomanta na pytania dotyczące samej pracy dyplomowej oraz pytania problemowe z zakresu programu studiów.
Jaki jest numer telefonu do dziekanatu w sprawach toku studiów dla studentów kierunku Informatyka i Systemy Informacyjne?|Z dziekanatem w sprawach toku studiów dla kierunku Informatyka i Systemy Informacyjne można skontaktować się pod numerem telefonu 22 234-53-63.
"Na jakim stopniu studiów realizowany jest przedmiot obieralny ""Siła nauki - granice poznania""?"|"Przedmiot ""Siła nauki - granice poznania"" realizowany jest na studiach drugiego stopnia."
Ile punktów ECTS jest przypisanych do pracy dyplomowej na szóstym semestrze studiów pierwszego stopnia na kierunku Matematyka?|Zgodnie z planem studiów pierwszego stopnia na kierunku Matematyka, do realizacji pracy dyplomowej na szóstym semestrze przypisano 15 punktów ECTS.
Jaki jest maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026?|Zgodnie z poradnikiem na rok akademicki 2025/2026 (od 1 października 2025 r.), stypendium socjalne może otrzymać student, którego dochód nie przekracza kwoty 1908,90 zł netto miesięcznie na osobę w rodzinie.
Czy student ma obowiązek złożyć wydrukowany egzemplarz pracy dyplomowej w dziekanacie?|Nie, w dziekanacie nie składa się wydrukowanego egzemplarza pracy dyplomowej. Należy jednak zapytać promotora oraz recenzenta, czy życzą sobie otrzymać wydrukowaną pracę, i w razie potrzeby dostarczyć ją bezpośrednio im.
Ile punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr na studiach pierwszego stopnia?|Aby zarejestrować się na trzeci semestr studiów pierwszego stopnia, należy uzyskać co najmniej 40 punktów ECTS.
"Jaką minimalną średnią ważoną ocen trzeba uzyskać na pierwszym roku studiów, aby móc ubiegać się o udział w projekcie ""Szkoła Orłów na PW""?"|"Aby złożyć zgłoszenie do projektu ""Szkoła Orłów na PW"", student musi uzyskać na pierwszym roku studiów średnią ważoną ocen wynoszącą co najmniej 4,2."
Jakie są konsekwencje niesamodzielnej pracy lub korzystania z niedozwolonych urządzeń podczas sprawdzianu?|W przypadku stwierdzenia niesamodzielności pracy lub korzystania z materiałów czy urządzeń innych niż dozwolone, student otrzymuje ocenę niedostateczną i traci prawo do zaliczenia tego przedmiotu w jego bieżącej realizacji.
Czy porozumienie o organizacji praktyk studenckich można dostarczyć do dziekanatu w postaci skanu?|Nie, porozumienie to jedyny dokument, który trzeba koniecznie dostarczyć w formie papierowej (nie może to być skan). Wyjątkiem są jedynie dokumenty opatrzone kwalifikowanym podpisem elektronicznym.
W jakim pokoju w Gmachu MiNI przyjmuje dr inż. Magdalena Jasionowska-Skop?|Dr inż. Magdalena Jasionowska-Skop przyjmuje w pokoju numer 556 w Gmachu MiNI.
Ile punktów ECTS jest przypisanych do pracy dyplomowej na czwartym semestrze studiów drugiego stopnia na kierunku Matematyka, na specjalności Indywidualne Studia Matematyczne?|Zgodnie z planem studiów, do pracy dyplomowej realizowanej na czwartym semestrze tej specjalności przypisano 20 punktów ECTS.
W jakiej formie należy składać podanie o urlop zdrowotny?|Podanie o urlop zdrowotny należy składać w formie elektronicznej za pośrednictwem systemu USOSweb (w zakładce Dla studentów -> Podania ePW).
Do czego służy system Fair Play na Wydziale MiNI?|System Fair Play służy do ograniczania ściągania podczas zajęć odbywających się w laboratorium komputerowym.
"Ile minimum punktów trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?"|"Zgodnie z sylabusem, do zaliczenia przedmiotu ""Systemy wspomagania decyzji"" konieczne jest uzyskanie co najmniej 51 punktów ze 100 maksymalnie możliwych do zdobycia."
Z kim Dziekan ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studentów odbywających praktyki poza stałym miejscem zamieszkania?|Zasady dofinansowania poniesionych kosztów zakwaterowania i dojazdów podczas praktyk Dziekan ustala w porozumieniu z Wydziałową Radą Samorządu Studentów.
Czy dziekanat Wydziału MiNI jest otwarty dla studentów w środy?|Nie, zgodnie z harmonogramem godzin otwarcia dziekanatu, w środy jest on nieczynny.
Czy do dziekanatu należy dostarczyć wydrukowany egzemplarz pracy dyplomowej?|Nie, w dziekanacie nie składa się wydrukowanego egzemplarza pracy dyplomowej. Należy jednak zapytać promotora oraz recenzenta, czy życzą sobie otrzymać wydrukowaną pracę, i w razie potrzeby im ją dostarczyć.
Ile razy w roku akademickim student może otrzymać zapomogę?|Student może otrzymać zapomogę maksymalnie 2 razy w danym roku akademickim. Należy przy tym pamiętać, że nie można otrzymać tego świadczenia dwukrotnie z tytułu tego samego zdarzenia.
O ile miesięcy studenci ostatniego semestru mogą przedłużyć termin złożenia pracy dyplomowej, jeśli zrealizowali cały program studiów?|Studenci, którzy zrealizowali cały program studiów, ale nie ukończyli pracy, mogą złożyć podanie o przesunięcie terminu złożenia pracy dyplomowej o 3 miesiące.
Do kogo pracownik uczelni składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na Wydziale MiNI?|Pracownik akademicki składa wniosek o wyrażenie zgody na praktyki wewnętrzne studenta do Prodziekana ds. Studenckich.
Ile minimum punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr studiów drugiego stopnia?|Aby uzyskać rejestrację na trzeci semestr studiów drugiego stopnia (niezależnie od kierunku i specjalności), należy do końca zimowej lub jesiennej sesji egzaminacyjnej zdobyć co najmniej 48 punktów ECTS.
Jaki dokument tożsamości powinien leżeć na stole studenta podczas sprawdzianu lub egzaminu na Wydziale MiNI?|Zgodnie z procedurą przeprowadzania sprawdzianów, na stole studenta powinna leżeć legitymacja studencka lub dowód osobisty.
"W którym semestrze studiów pierwszego stopnia na kierunku Matematyka realizowany jest przedmiot ""Modelowanie matematyczne""?"|"Zgodnie z planem studiów pierwszego stopnia na kierunku Matematyka, przedmiot ""Modelowanie matematyczne"" jest realizowany na szóstym semestrze."
W jakiej formie należy złożyć podanie o urlop zdrowotny?|"Podanie o urlop zdrowotny składa się w formie elektronicznej za pośrednictwem systemu USOSweb, korzystając z zakładki ""Dla studentów -> Podania ePW""."
Jaki jest numer telefonu służbowego do dr. inż. Krzysztofa Kaczmarskiego?|Numer telefonu służbowego do dr. inż. Krzysztofa Kaczmarskiego to (22) 234 5923.
"W jakim języku prowadzone są zajęcia z przedmiotu obieralnego ""Algorytmy Probabilistyczne""?"|"Zajęcia z przedmiotu obieralnego ""Algorytmy Probabilistyczne"" są prowadzone w języku polskim."
Ile punktów ECTS jest przypisanych do pracy dyplomowej w planie studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?|Zgodnie z planem studiów na szóstym semestrze pierwszego stopnia na kierunku Matematyka i Analiza Danych, do pracy dyplomowej przypisanych jest 15 punktów ECTS.
Kto na wydziale sporządza zbiorcze podsumowanie oceny wiedzy i umiejętności studentów z punktu widzenia pracodawców?|Zbiorcze podsumowanie oceny na podstawie przekazanych ankiet od pracodawców sporządza Pełnomocnik ds. Praktyk.
Ile kosztuje wydanie duplikatu elektronicznej legitymacji studenckiej?|Opłata za wydanie duplikatu elektronicznej legitymacji studenckiej wynosi 33,00 zł. Wpłaty należy dokonać na indywidualny numer konta studenta, który jest podany w systemie USOSweb.
"Jakie są przedmioty poprzedzające (wymagania wstępne) dla przedmiotu ""Gry kombinatoryczne""?"|"Zgodnie z sylabusem, wymaganiami wstępnymi dla przedmiotu ""Gry kombinatoryczne"" są: Matematyka dyskretna, Algebra liniowa z geometrią 1-2 oraz Rachunek prawdopodobieństwa."
Jakie dokumenty są potrzebne, aby dołączyć do Szkoły Orłów?|"Należy przygotować i złożyć trzy dokumenty: wypełniony formularz rekrutacyjny, potwierdzenie średniej ocen uzyskanej na pierwszym roku studiów oraz podpisaną opinię wybranego wykładowcy
. Skany tych dokumentów należy przesłać drogą elektroniczną do kierownika projektu w wyznaczonym terminie
."
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent powinni zamieścić recenzję w systemie APD?|Zgodnie z regulaminem, promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Ile razy w ciągu roku akademickiego student może otrzymać zapomogę?|Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim, przy czym nie można otrzymać tego świadczenia dwukrotnie z tytułu tego samego zdarzenia.
Ile wynosi nagroda za zajęcie pierwszego miejsca w Ogólnopolskim konkursie na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?|Zgodnie z zasadami konkursu, nagroda za zajęcie pierwszego miejsca wynosi 4 000 zł.
Pod jakim numerem telefonu można skontaktować się z dziekanatem Wydziału MiNI w sprawach związanych z systemem USOS oraz rekrutacją?|W sprawach związanych z systemem USOS oraz rekrutacją można skontaktować się z dziekanatem pod numerem telefonu 22 234-59-24 (pokój 27).
Ile punktów ECTS należy uzyskać, aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia?|Aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia, należy zdobyć co najmniej 40 punktów ECTS do końca zimowej lub jesiennej sesji egzaminacyjnej.
W jakim terminie należy złożyć wniosek o stypendium Ministra za znaczące osiągnięcia?|Wnioski o stypendium Ministra za znaczące osiągnięcia należy składać do 15 października za pośrednictwem systemu ZSUN/OSF.
Jakie dokumenty potwierdzające tożsamość powinny leżeć na stole studenta podczas sprawdzianu lub egzaminu?|Zgodnie z procedurą przeprowadzania sprawdzianów, na stole studenta powinna leżeć legitymacja studencka lub dowód osobisty.
W jaki sposób student powinien złożyć podanie o urlop zdrowotny?|"Podanie o urlop zdrowotny należy złożyć w formie elektronicznej za pośrednictwem systemu USOSweb, wybierając zakładkę ""Dla studentów"", a następnie ""Podania ePW""."
W jakim zakładzie pracuje dr inż. Magdalena Jasionowska-Skop?|Dr inż. Magdalena Jasionowska-Skop pracuje w Zakładzie Projektowania Systemów CAD/CAM i Komputerowego Wspomagania Medycyny.
Ile punktów ECTS jest przypisanych do przedmiotu Modelowanie matematyczne w planie studiów pierwszego stopnia na kierunku Matematyka?|Zgodnie z planem studiów pierwszego stopnia na kierunku Matematyka, do przedmiotu Modelowanie matematyczne (realizowanego na szóstym semestrze) przypisane są 4 punkty ECTS.
W jakiej formie student powinien dostarczyć porozumienie dotyczące praktyk studenckich?|Porozumienie należy dostarczyć koniecznie w formie papierowej (nie może to być skan), chyba że dokumenty zostały podpisane kwalifikowanym podpisem elektronicznym.
Ile wynosi opłata za wydanie duplikatu elektronicznej legitymacji studenckiej?|Opłata za wydanie duplikatu elektronicznej legitymacji studenckiej (ELS) wynosi 33,00 zł.
W jakim terminie zespół rozpoczyna realizację pracy dyplomowej inżynierskiej?|Zespół rozpoczyna realizację pracy dyplomowej inżynierskiej w ramach zajęć z przedmiotu projekt zespołowy, który jest prowadzony w pierwszej połowie ostatniego semestru studiów I stopnia.
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent muszą zamieścić recenzje pracy w systemie APD?|Zgodnie z wytycznymi, promotor oraz recenzent zamieszczają recenzje pracy dyplomowej w systemie APD na co najmniej 3 dni przed terminem egzaminu dyplomowego.
Jakie przedmioty są wymagane jako wstępne przed zapisaniem się na przedmiot Gry kombinatoryczne?|Wymaganiami wstępnymi (przedmiotami poprzedzającymi) dla Gier kombinatorycznych są: Matematyka dyskretna, Algebra liniowa z geometrią 1-2 oraz Rachunek prawdopodobieństwa.
Ile maksymalnie punktów można uzyskać za aktywność w czasie wystąpień kolegów na przedmiocie Matematyka popularna?|Zgodnie z zasadami oceniania przedmiotu Matematyka popularna, za aktywność uczestnika w czasie wystąpień innych studentów można uzyskać maksymalnie 20 punktów.
Jaki jest maksymalny próg dochodowy netto na osobę w rodzinie, aby student mógł ubiegać się o stypendium socjalne?|Stypendium socjalne może otrzymać student, którego próg dochodowy na osobę w rodzinie nie przekracza 1908,90 zł netto.
Czy podczas sprawdzianu student może używać urządzenia komunikacyjnego jako kalkulatora?|Nie, zgodnie z procedurą przeprowadzania sprawdzianów, żadne urządzenia umożliwiające komunikację w żadnym wypadku nie mogą służyć jako zegarki lub kalkulatory.
Ile punktów ECTS trzeba uzyskać, aby zarejestrować się na drugi semestr na studiach pierwszego stopnia?|Aby uzyskać rejestrację na drugi semestr studiów pierwszego stopnia, należy do końca zimowej lub jesiennej sesji egzaminacyjnej uzyskać co najmniej 16 punktów ECTS (nie wliczając praktyk).
W jakiej sytuacji student może ubiegać się o dofinansowanie kosztów odbywania praktyk studenckich?|Student może ubiegać się o dofinansowanie poniesionych i udokumentowanych kosztów zakwaterowania oraz dojazdów, jeżeli odbywa praktykę poza swoim stałym miejscem zamieszkania i siedzibą uczelni.
Ile punktów ECTS przypisano do przedmiotu Siła nauki - granice poznania?|Za zaliczenie przedmiotu Siła nauki - granice poznania student uzyskuje 3 punkty ECTS.
W jakich pokojach znajduje się gabinet dr. inż. Krzysztofa Kaczmarskiego?|Gabinet dr. inż. Krzysztofa Kaczmarskiego znajduje się w Gmachu MiNI w pokojach 28 oraz 515.
Na ile dni przed egzaminem dyplomowym promotor i recenzent muszą zamieścić recenzje pracy w systemie APD?|Zgodnie z regulaminem, promotor i recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD na co najmniej 3 dni przed planowanym terminem egzaminu dyplomowego.
Jakie przedmioty są wymagane jako wstępne do wzięcia udziału w zajęciach Gry kombinatoryczne?|Zgodnie z sylabusem, wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są: Matematyka dyskretna, Algebra liniowa z geometrią 1-2 oraz Rachunek prawdopodobieństwa.
Do kogo pracownik składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na Wydziale MiNI?|Pracownik (nauczyciel akademicki), pod którego opieką student ma odbywać praktykę wewnętrzną, składa wniosek o wyrażenie zgody do Prodziekana ds. Studenckich.
Pod jakim numerem telefonu należy kontaktować się z dziekanatem w sprawach toku studiów dla kierunku Inżynieria i Analiza Danych?|W sprawach toku studiów studenci kierunku Inżynieria i Analiza Danych powinni kontaktować się z dziekanatem pod numerem telefonu 22 234-59-22.
Czy absolwent specjalności Statystyka matematyczna i analiza danych (SMAD) potrafi przeprowadzić nieparametryczną estymację funkcji regresji?|Tak, zgodnie z kartą efektów uczenia się absolwent tej specjalności potrafi przeprowadzić estymację gęstości rozkładu oraz nieparametryczną estymację funkcji regresji.
Jaki dokument potwierdzający tożsamość powinien leżeć na stole studenta w trakcie trwania sprawdzianu lub egzaminu?|Zgodnie z procedurą przeprowadzania sprawdzianów, na stole studenta powinna leżeć legitymacja studencka lub dowód osobisty.
Ile minimalnie punktów ECTS należy uzyskać, aby zarejestrować się na 4 semestr studiów pierwszego stopnia?|Aby zarejestrować się na 4 semestr studiów pierwszego stopnia, student musi uzyskać co najmniej 45 punktów ECTS.
Jaki odsetek najlepszych studentów danego kierunku może otrzymać stypendium rektora?|Zgodnie z regulaminem, stypendium rektora otrzymuje tylko 8% najlepszych studentów danego kierunku.
Pod jakim numerem telefonu jest dostępne Całodobowe Centrum Kierowania Straży Akademickiej PW?|Całodobowe Centrum Kierowania Straży Akademickiej PW jest dostępne pod numerem telefonu 22 234 66 66.
Ile punktów można maksymalnie uzyskać za aktywność w czasie wystąpień kolegów na zajęciach z przedmiotu Matematyka popularna?|Zgodnie z kryteriami oceniania dla przedmiotu Matematyka popularna, za aktywność w czasie wystąpień innych uczestników można uzyskać maksymalnie 20 punktów.
W jaki sposób należy złożyć podanie o urlop zdrowotny?|Podanie o urlop zdrowotny należy składać w formie elektronicznej za pośrednictwem systemu USOSweb, wybierając zakładkę „Dla studentów”, a następnie „Podania ePW”.
Czy mogę ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów, jeśli odbywam praktykę poza siedzibą Uczelni i miejscem stałego zamieszkania?|Tak, zgodnie z regulaminem student może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania i dojazdów, jeśli odbywa praktykę poza stałym miejscem zamieszkania i siedzibą Uczelni.
Ile minimalnie punktów z zadania projektowego trzeba zdobyć, aby zaliczyć przedmiot Wnioskowanie rozmyte?|Aby zaliczyć przedmiot Wnioskowanie rozmyte, student musi uzyskać z zadania projektowego minimum 16 punktów.
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent muszą zamieścić recenzje w systemie APD?|Promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD na co najmniej 3 dni przed wyznaczonym terminem egzaminu dyplomowego.
Ile czasu czeka się na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS)?|Czas oczekiwania na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS) wynosi około 7 do 10 dni roboczych.
Z czego składa się część opisowa Zespołowej Pracy Przejściowej (ZPP)?|Część opisowa Zespołowej Pracy Przejściowej (ZPP) składa się z ogólnego opisu rozwiązywanego zagadnienia, przygotowanego wspólnie przez wszystkich członków zespołu, oraz z opisów indywidualnych, w których każdy ze studentów samodzielnie przedstawia wykonany przez siebie fragment pracy.
W jakich pokojach w Gmachu MiNI można znaleźć dr. inż. Krzysztofa Kaczmarskiego?|Dr inż. Krzysztof Kaczmarski przyjmuje w Gmachu MiNI w pokojach 28 oraz 515.
Pod jakim numerem telefonu można skontaktować się z dziekanatem w sprawach dotyczących kierunku Inżynieria i Analiza Danych?|Z dziekanatem w sprawach kierunku Inżynieria i Analiza Danych można skontaktować się pod numerem telefonu 22 234-59-22.
Jakie przedmioty stanowią wymagania wstępne do uczestnictwa w zajęciach z przedmiotu Gry kombinatoryczne?|Zgodnie z opisem przedmiotu, wymaganiami wstępnymi są: Matematyka dyskretna, Algebra liniowa z geometrią 1-2 oraz Rachunek prawdopodobieństwa.
Do kogo nauczyciel akademicki składa wniosek o wyrażenie zgody na odbycie przez studenta praktyki wewnętrznej na Wydziale MiNI?|Zgodnie z zasadami odbywania praktyk wewnętrznych, nauczyciel akademicki składa wniosek o wyrażenie zgody do Prodziekana ds. Studenckich.
Jakie są konsekwencje stwierdzenia niesamodzielności pracy studenta podczas sprawdzianu?|W przypadku stwierdzenia niesamodzielności pracy student uzyskuje ocenę niedostateczną i traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji.
