,PYTANIE,strona
100,gdzie mogę znaleźć informację o godzinach otwarcia dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
102,godziny otwarcia dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
107,w jakie dni następuje zmiana planu zajęć np plan poniedziałkowy w czwartek,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
108,kiedy są najbliższe dni wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
110,jaki jest aktualny plan studiów iadu,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plany-zajec/
114,jaki jest harmonogram sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
122,które dni w kalenadrzu akademickim mają zmieniony plan,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
123,kiedy są dni wolne w ciągu roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
126,jakie są zasady zaliczania przedmiotów według regulaminu studiów pw,https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf
129,kiedy i gdzie jest pierwszy termin egzaminu pisemnego ze statystyki,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
131,kiedy wypadają dni wolne od studiowania,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
132,jaki jest plan zajęć dla informatyki na trzecim semestrze,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plany-zajec/
133,kiedy są wolne dni od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
134,plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
135,kiedy są zajęcia w inny dzień tygodnia niż naprawdę jest np środa w piątek,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
139,gdzie znajdują się drukarki wydziałowe,https://ww2.mini.pw.edu.pl/laboratorium/system-druku/
140,kiedy są wolne dni,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
141,w których godzinach otwarty jest dziekanat i kiedy,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
144,kiedy mogę wejść do dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
152,w jakich godzinach otwarty jest dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
154,jakie dni są wolne w danym semestrze,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
158,ile punktów ects potrzeba do zaliczenia pełnego lub warukowego semestru,https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf
160,czy został już opublikowany plan sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
165,w jakie dni tygodnia i w jakich godzinach otwarty jest dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
168,jakie i kiedy ma egzaminy informatyka,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
169,jaki jest plan zajęć mad,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plany-zajec/
173,ile trzeba mieć punktów ects na zdanie,https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf
175,kiedy otwarty jest dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
182,kiedy jest otwarty dziekanat,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
184,jakie są róznice przedmiotowe między kierunkami matematyka a matematyka i analiza danych,https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/matematyka-i-analiza-danych/
187,ile ects mają obecnie przedmioty na ntym semestrze isi oraz jakie przedmioty będą na kolejnych semestrach,https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-I-st-ISI.pdf
191,jaki jest termin sesji w tym roku,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
193,terminy sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
206,kiedy są dni dodatkowo wolne od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
208,o czas wolny,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
212,jak wygląda harmonogram roku akademickiego które dni są wolne a w które mamy zmieniony plan,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
216,w jakie dni nie ma zajęć na wydziale jest zmiana dnia,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
225,jaki jest adres mailowy do prodziekana ds nauczania,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
227,ile ects muszę wyrobić w ramach przedmiotów obieralnych na 1 semestrze data science,https://ww2.mini.pw.edu.pl/wp-content/uploads/20250529-iad-plan-studiow-mgr-4sem.pdf
232,w które dni zmienia się plan zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiegohttps://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
236,kiedy są dni wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
239,które dni mamy wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
248,jaki jest program studiów magisterskich smad,https://ww2.mini.pw.edu.pl/studia/magisterskie/matematyka-i-analiza-danych/statystyka-matematyczna-i-analiza-danych/
252,kiedy zaczyna się i kończy sesja,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
253,godziny otwarcia dziekanatow sekretariatow,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
254,kiedy są dni wolne i kiedy są zamienione dni np plan wtorkowy w piątek,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
264,jaki jest harmonogram najbliższej sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
269,jakie są terminy egzaminów w sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
274,kiedy rozpoczyna się i kończy sesja w tym semestrze,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
276,które dni są wolne od zajęćo zmienionym planie na dzień,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
280,kiedy plan jest zmieniony np poniedziałek w czwartek,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
304,harmonogram terminy sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
310,jaki jest terminarz sesji,https://ww2.mini.pw.edu.pl/studia/plany-zajec-i-procedury/plan-sesji/
312,jakie są dni wolne w danym semestrze akademickim,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego
313,jaki jest plan studiów iad na mini,https://ww2.mini.pw.edu.pl/wp-content/uploads/20250529-iad-plan-studiow-inz.pdf
315,jakie są godziny otwarcia budynku i dziekanatu,https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/
