pytanie|odpowiedz|zrodla|pliki|liczba_plikow
Chciałbym wyjechać na krótki kurs zagraniczny w ramach programu ATHENS. Ile punktów ECTS mogę za niego uzyskać i kto na moim wydziale na PW zadecyduje o uznaniu tych punktów w moim planie studiów?|Uczestnicząc w intensywnych, tygodniowych kursach międzynarodowych w ramach programu ATHENS, po zakończeniu i zaliczeniu zajęć możesz uzyskać od 2 do 3 punktów ECTS. Realizacja części programu poza macierzystym wydziałem wymaga jednak uprzedniego uzyskania zgody dziekana (promesy). Po Twoim powrocie to również dziekan podejmuje rozstrzygnięcie o formalnym uznaniu tych przedmiotów, bazując na zbieżności uzyskanych przez Ciebie efektów uczenia się, a także przelicza zdobyte oceny na obowiązujący w PW system.|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024; Regulamin studiów w Politechnice Warszawskiej|ee0f54fc508ca6edb94560f70b4dcd8b.pdf; regulamin_studiow.pdf|wiele plików
Pracuję w innym mieście i interesują mnie studia na odległość. Czy poprzez dedykowany do tego Ośrodek Kształcenia na Odległość (OKNO) mogę zrealizować całe moje studia (100% punktów) w trybie całkowicie wirtualnym?|Nie, realizacja całego programu w trybie wirtualnym nie jest możliwa. Ośrodek Kształcenia na Odległość (OKNO) wspiera naukę przy pomocy platformy LeIA, jednak obowiązujące przepisy prawne narzucają określony limit. W przypadku studiów o profilu ogólnoakademickim, punkty ECTS możliwe do uzyskania z wykorzystaniem metod i technik zdalnych nie mogą przekroczyć 75% wymiaru całego programu studiów.|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024|ee0f54fc508ca6edb94560f70b4dcd8b.pdf|jeden plik
Z powodu nagłego i długiego leczenia członka mojej rodziny znalazłem się w bardzo trudnej sytuacji, która utrudnia mi finansowo studiowanie. Ile mam czasu na złożenie wniosku o zapomogę z Uczelni i jaka to będzie kwota?|Wniosek o zapomogę powinieneś złożyć niezwłocznie, lecz nie później niż w terminie 3 miesięcy od daty zaistnienia zdarzenia pogarszającego Twoją sytuację. Kwota zapomogi nie jest z góry ustalona; Uczelnia ustala ją indywidualnie na podstawie przedstawionych przez Ciebie dowodów (np. kart informacyjnych leczenia szpitalnego czy imiennych faktur potwierdzających poniesione koszty). Należy pamiętać, że z zapomogi możesz skorzystać maksymalnie dwa razy w jednym roku akademickim, ale nie może być ona przyznana dwukrotnie z powodu dokładnie tego samego zdarzenia.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Uczęszczam do liceum, ale posiadam wybitne uzdolnienia w kierunku ścisłym. Znalazłem program przedmiotu na PW, który bardzo mnie interesuje. Czy jako uczeń mogę brać w nim udział i co z moimi wynikami, jeśli w przyszłym roku zrekrutuję się na te studia?|Tak, Uczelnia przewiduje mechanizm dla wybitnie uzdolnionych uczniów. Musisz złożyć wniosek do dziekana, posiadać rekomendację dyrektora swojej szkoły, a w przypadku niepełnoletności również zgodę rodziców lub opiekunów. Będąc uczestnikiem zajęć, masz pełne prawo korzystać z urządzeń i sal dydaktycznych Uczelni oraz pomocy pracowników, a Twoje zaliczenia zostaną odnotowane w karcie osiągnięć ucznia. Jeżeli w przyszłości oficjalnie rozpoczniesz realizację tego samego programu na PW jako student, dziekan ma prawo zwolnić Cię z obowiązku powtórnego zaliczania tych przedmiotów.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Mam pilny wyjazd i nie będzie mnie na kilku wykładach. Czy obecność na wykładach jest obowiązkowa i muszę się jakoś usprawiedliwiać?|Zgodnie z przepisami, obecność na zajęciach z wyjątkiem wykładów jest obowiązkowa i powinna być sprawdzana. Oznacza to, że z samej nieobecności na tradycyjnych wykładach nie musisz się formalnie usprawiedliwiać przed prowadzącym.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Ile semestrów maksymalnie mogę pobierać stypendium socjalne podczas studiów pierwszego stopnia (inżynierskich)?|Łączny okres, przez który przysługują świadczenia pomocy materialnej (w tym stypendium socjalne) na studiach pierwszego stopnia wynosi nie dłużej niż 9 semestrów.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Czy za rekrutację do Szkoły Doktorskiej muszę płacić podwójnie, jeśli ubiegam się o przyjęcie do dwóch różnych dyscyplin jednocześnie?|Tak, rekrutacja do Szkoły jest płatna, a w przypadku kandydowania do więcej niż jednej dyscypliny, opłata rekrutacyjna musi zostać wniesiona za każde pojedyncze zgłoszenie i jest ona bezzwrotna.|Regulamin rekrutacji do Szkoły Doktorskiej na rok akademicki 2026/2027|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Czy kierownik akademika może wejść do mojego pokoju bez mojej zgody pod moją nieobecność?|Kierownik akademika lub upoważnione przez niego osoby mogą wejść do Twojego pokoju mieszkalnego w celach służbowych pod Twoją nieobecność, ale wyłącznie w obecności przedstawiciela właściwej Rady Mieszkańców. Wejście bez udziału członka Rady jest możliwe tylko wtedy, gdy Ty lub przewodniczący Rady wyrazicie na to wyraźną zgodę.|Regulamin Domu Studenckiego Politechniki Warszawskiej|7fe181576ef6f818438bc0b3df98e13f.pdf|jeden plik
Moi znajomi z grupy to obcokrajowcy, którzy słabo mówią po polsku, ale bardzo zależy im na skorzystaniu z doradztwa zawodowego uczelni. Czy Biuro Karier oferuje takie spotkania po angielsku?|Tak, Politechnika Warszawska zapewnia wsparcie doradcze również dla osób z zagranicy. Zarówno diagnoza potencjału zawodowego, jak i opracowywanie planów rozwoju i konsultacje psychologiczne w Biurze Karier odbywają się w języku polskim oraz w języku angielskim.|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024|ee0f54fc508ca6edb94560f70b4dcd8b.pdf|jeden plik
Ile punktów do stypendium Rektora można dostać za patent?|Za uzyskanie patentu (a także za uzyskanie wzoru użytkowego lub przemysłowego) możesz otrzymać 4 punkty w rankingu o stypendium Rektora w części za osiągnięcia naukowe. Z kolei samo udokumentowane zgłoszenie patentowe (bez względu na liczbę dokonanych zgłoszeń) uprawnia Cię do otrzymania 2 punktów.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Jaką wiedzę z zakresu fizyki powinien posiadać absolwent studiów pierwszego stopnia na kierunku Inżynieria i Analiza Danych?|Absolwent tego kierunku powinien posiadać podstawową wiedzę z fizyki, która obejmuje elektromagnetyzm, lasery, fizykę półprzewodników, mechanikę oraz fizyczne podstawy budowy komputerów kwantowych.|Efekty uczenia się dla studiów pierwszego stopnia na kierunku Inżynieria i Analiza Danych|09dde30f2523fec5088b62dbdd727a73.pdf|jeden plik
W jakiej formie mogę złożyć wniosek o udostępnienie informacji publicznej na PW i na jaki adres go wysłać?|Wniosek o udostępnienie informacji publicznej możesz złożyć w formie ustnej lub pisemnej. Wniosek pisemny najprościej jest wysłać drogą elektroniczną na specjalny adres mailowy Biura Rektora: informacjapubliczna@pw.edu.pl.|Regulamin umieszczania informacji w Biuletynie Informacji Publicznej (BIP) PW|390bf595ba50c2b63d98e7056c54b61f.pdf|jeden plik
Jaką dokładnie wagę ma sama rozmowa kwalifikacyjna podczas obliczania oceny rekrutacyjnej kandydata do Szkoły Doktorskiej?|Podczas obliczania końcowej oceny w skali 0–10, rozmowa kwalifikacyjna ma największe znaczenie i przypisano jej wagę 0,5 (stanowi 50% całej oceny rekrutacyjnej).|Regulamin rekrutacji do Szkoły Doktorskiej na rok 2026/2027|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Od którego roku pracy na uczelni pracownik PW zaczyna otrzymywać dodatek za staż pracy i ile maksymalnie może on wynieść?|Dodatek za staż pracy zaczyna być wypłacany poczynając od czwartego roku zatrudnienia. Wynosi on 1% wynagrodzenia zasadniczego za każdy przepracowany rok, przy czym maksymalnie może osiągnąć wartość 20% wynagrodzenia zasadniczego.|Regulamin wynagradzania pracowników Politechniki Warszawskiej|b316729d09938e94c7eb5528b0e0744d.pdf|jeden plik
Moja organizacja studencka planuje zrealizować projekt. Ile dni przed jego rozpoczęciem musimy najpóźniej złożyć wniosek o dofinansowanie z uczelni?|Odpowiedni wniosek o przyznanie dofinansowania należy złożyć do Biura Spraw Studenckich nie później niż na 5 dni przed planowanym terminem rozpoczęcia realizacji Waszego projektu.|Regulamin dysponowania środkami na działalność studencką|c82085781d743edb519bd365df87aded.pdf; regulamin_studiow.pdf|wiele plików
Do której godziny mogą mnie odwiedzać znajomi w akademiku i czy mogą u mnie przenocować?|Goście mają prawo przebywać na terenie domu studenckiego w wyznaczonych godzinach odwiedzin, czyli od 7:00 do 23:00. Znajomi mogą u Ciebie przenocować, jednak wymaga to przedłużenia wizyty poza standardowe godziny i uzyskania zgody (od właściwej Rady Mieszkańców, kierownika akademika lub upoważnionego pracownika). Chęć przenocowania gościa musi zostać zgłoszona najpóźniej do godziny 23:00 w dniu jego wizyty. Zgodnie z regulaminem, gość z takim zezwoleniem może nocować w akademiku nie dłużej niż 3 kolejne noce i nie więcej niż 5 nocy w danym miesiącu. Należy również pamiętać, że jeśli którykolwiek ze współmieszkańców Twojego pokoju wyrazi sprzeciw, zezwolenie na dłuższy pobyt gościa traci ważność.|Regulamin Domu Studenckiego Politechniki Warszawskiej|7fe181576ef6f818438bc0b3df98e13f.pdf|jeden plik
Co się stanie, jeśli nie zaliczę jakiegoś przedmiotu na studiach i czy wiąże się to z dodatkowymi kosztami?|Niezaliczenie przedmiotu na danym etapie studiów skutkuje koniecznością powtarzania zajęć z tego przedmiotu, ponownej realizacji przedmiotu równoważnego lub przedmiotu z tej samej grupy, w zależności od obowiązującego programu studiów. Powtarzanie zajęć wiąże się z koniecznością wniesienia opłaty, której zasady i wysokość określają wewnętrzne akty prawne Uczelni.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Czy jako student mogę oficjalnie zgłosić kandydata do wyróżnienia Medalem Politechniki Warszawskiej?|Tak, prawo do zgłoszenia kandydata do wyróżnienia Medalem posiada każdy członek społeczności Politechniki Warszawskiej, a więc również studenci. Zgłoszenia takiego dokonuje się za pośrednictwem dowolnego członka Kapituły Medalu.|Zasady nadawania Medalu Politechniki Warszawskiej|35ef86bbcf1cd086fee4fd97f088aa47.pdf|jeden plik
Chciałbym rozpocząć doktorat na PW, ale jestem już doktorantem w szkole doktorskiej na innej uczelni. Czy mogę studiować w obu miejscach jednocześnie?|Nie, nie ma takiej możliwości. Zgodnie z regulaminem rekrutacji do Szkoły Doktorskiej PW, jednym z podstawowych warunków przyjęcia jest to, aby kandydat nie był w tym samym czasie doktorantem w innej szkole doktorskiej.|Regulamin rekrutacji do Szkoły Doktorskiej|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Otrzymaliśmy uczelniane dofinansowanie na działalność naszego koła naukowego. Czy możemy z tych pieniędzy legalnie sfinansować zakup alkoholu na spotkanie podsumowujące projekt?|Nie, jest to kategorycznie zabronione. Zgodnie z regulaminem, ze środków przyznanych na działalność studencką nie można finansować zakupów alkoholu oraz papierosów.|Regulamin dysponowania środkami na działalność studencką|c82085781d743edb519bd365df87aded.pdf|jeden plik
Kierownik mojego akademika nałożył na mnie decyzję dyscyplinującą, z którą się nie zgadzam. Do kogo i w jakim czasie mogę się odwołać?|Od decyzji kierownika zespołu domów studenckich możesz odwołać się do prorektora ds. studenckich. Masz na to 14 dni od momentu ogłoszenia tej decyzji na terenie akademika. Pamiętaj jednak, że samo złożenie odwołania nie wstrzymuje wykonania decyzji dyscyplinującej.|Regulamin Domu Studenckiego Politechniki Warszawskiej|7fe181576ef6f818438bc0b3df98e13f.pdf|jeden plik
Posiadam orzeczenie o niepełnosprawności i potrzebuję pomocy w dostosowaniu warunków zajęć. Czy mogę liczyć na indywidualne wsparcie na wydziale?|Tak, możesz zwrócić się do dziekana z wnioskiem o wyznaczenie dla Ciebie opiekuna wydziałowego (może to być Pełnomocnik ds. osób z niepełnosprawnościami lub wskazany nauczyciel akademicki). Zadaniem opiekuna jest poznanie i przedstawienie dziekanowi Twoich szczególnych potrzeb w zakresie organizacji i dostosowania całego procesu dydaktycznego.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Jaką minimalną ocenę na dyplomie ukończenia studiów magisterskich muszę posiadać, aby zostać przyjętym do Szkoły Doktorskiej na Politechnice Warszawskiej?|Aby ubiegać się o przyjęcie do Szkoły Doktorskiej, musisz uzyskać na swoim dyplomie ukończenia studiów ocenę co najmniej dobrą (lub odpowiadającą ocenie dobrej w przypadku dyplomu wydanego przez uczelnię zagraniczną).|Regulamin rekrutacji do Szkoły Doktorskiej Politechniki Warszawskiej|84cf2faf2873685ac94833c869fe866f.pdf|jeden plik
Do którego dnia miesiąca muszę standardowo wnosić opłaty, jeśli mieszkam w akademiku na zasadach zakwaterowania długoterminowego?|W przypadku zakwaterowania długoterminowego, opłatę za miejsce w domu studenckim należy wnieść najpóźniej do 15. dnia każdego miesiąca, o ile szczegółowe regulaminy konkretnej akcji kwaterunkowej nie stanowią inaczej.|Regulamin Domu Studenckiego Politechniki Warszawskiej|7fe181576ef6f818438bc0b3df98e13f.pdf|jeden plik
O ile semestrów maksymalnie mogę przedłużyć czas trwania moich studiów stacjonarnych, jeśli nie wyrabiam się z materiałem?|Jako student studiów stacjonarnych możesz uzyskać rejestrację na czas nie dłuższy niż dwa semestry ponad nominalny czas trwania Twoich studiów. Warto pamiętać, że do tego limitu nie wlicza się okresów, w których przebywałeś na urlopach.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
Chcę zgłosić nieprawidłowości na uczelni jako sygnalista. Czy mogę to zrobić ustnie przez telefon i w jakich godzinach linia jest dostępna?|Tak, zgłoszenia wewnętrznego można dokonać w formie ustnej poprzez specjalną infolinię obsługiwaną przez niezależny podmiot. Infolinia ta jest czynna w dni robocze w godzinach od 7:00 do 18:00.|Procedura przyjmowania zgłoszeń wewnętrznych i ochrony sygnalistów|62f1b26a2cee774b5699342e29970bbf.pdf|jeden plik
Jestem tegorocznym maturzystą, który właśnie dostał się na studia na PW. Czy sam fakt wygrania międzynarodowej olimpiady przedmiotowej uprawnia mnie do stypendium Rektora na pierwszym roku?|Tak, stypendium Rektora otrzymuje student przyjęty na pierwszy rok studiów w roku złożenia egzaminu maturalnego, o ile jest laureatem olimpiady międzynarodowej (albo laureatem lub finalistą olimpiady stopnia centralnego).|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_swiadczen_2025_2026.pdf|jeden plik
Znalazłem się w trudnej sytuacji życiowej i planuję złożyć wniosek o zapomogę z uczelni. Ile maksymalnie mam na to czasu? Czy jeśli w ramach poprawy nastroju moje koło naukowe zorganizuje spotkanie, to może z uczelnianego dofinansowania opłacić zakup alkoholu?|Wniosek o zapomogę powinieneś złożyć niezwłocznie, ale nie później niż w terminie 3 miesięcy od daty zdarzenia pogarszającego Twoją sytuację. Z kolei ze środków przyznanych na działalność studencką (np. budżetu koła naukowego) absolutnie nie mogą być finansowane zakupy alkoholu.|Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026; Regulamin dysponowania środkami na działalność studencką|regulamin_swiadczen_2025_2026.pdf; c82085781d743edb519bd365df87aded.pdf|wiele plików
Mam problemy z dojazdami. Czy mogę zrealizować całe moje studia (100% ECTS) korzystając z Ośrodka Kształcenia na Odległość, żeby nie musieć się martwić o obowiązkową obecność na zajęciach?|Nie ma możliwości realizacji pełnych 100% studiów całkowicie zdalnie, ponieważ w przypadku studiów o profilu ogólnoakademickim punkty uzyskiwane takimi metodami mogą stanowić maksymalnie 75% wymiaru programu studiów. Na tradycyjnych zajęciach stacjonarnych (z wyjątkiem wykładów) obecność jest obowiązkowa, a w sprawach spornych Twoją nieobecność może usprawiedliwić wyłącznie dziekan.|Sprawozdanie Rektora z działalności Politechniki Warszawskiej za rok 2024; Regulamin studiów w Politechnice Warszawskiej|ee0f54fc508ca6edb94560f70b4dcd8b.pdf; regulamin_studiow.pdf|wiele plików
Studiuję kierunek w języku polskim, ale zależy mi, by móc zdać egzamin z danego przedmiotu po angielsku. Czy to możliwe? Dodatkowo, od jakiej średniej ocen mogę w ogóle ubiegać się o stypendium Rektora w ramach wyników w nauce?|Tak, w uzasadnionych przypadkach dziekan wydziału może zezwolić Ci na zaliczanie niektórych przedmiotów w języku innym niż podstawowy język Twoich studiów. Aby z kolei ubiegać się o punkty do stypendium Rektora za wyniki w nauce, Twoja średnia w poprzednim roku studiów musi wynosić nie mniej niż 4,00.|Regulamin studiów w Politechnice Warszawskiej; Regulamin świadczeń dla studentów Politechniki Warszawskiej na rok akademicki 2025/2026|regulamin_studiow.pdf; regulamin_swiadczen_2025_2026.pdf|wiele plików
Chcę przenieść się na swoim wydziale ze studiów stacjonarnych na niestacjonarne. Czy muszę spełnić wymóg pełnej rejestracji na drugi rok, i czy brak zaświadczenia od lekarza przed rozpoczęciem zajęć może spowodować, że nie zostanę na nie wpuszczony?|Zgodę na przeniesienie wyraża dziekan, jednak przy zmianie formy studiów ze stacjonarnych na niestacjonarne wyjątkowo nie jest konieczne spełnienie rygorystycznego warunku uzyskania rejestracji na drugi rok nauki. Musisz jednak pamiętać, że brak ważnego orzeczenia lekarskiego o braku przeciwwskazań zdrowotnych i brak odpowiedniego przeszkolenia BHP może skutkować niedopuszczeniem Cię do udziału w zajęciach, na których występują czynniki szkodliwe lub niebezpieczne.|Regulamin studiów w Politechnice Warszawskiej|regulamin_studiow.pdf|jeden plik
