pytanie,odpowiedz_wygenerowana
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Analiza funkcjonalna"" na czwartym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?",Nie mam tej informacji w dostępnych zasobach.
"Jakie przedmioty są wymagane jako wstępne do zapisania się na przedmiot ""Gry kombinatoryczne""?","Wymagane przedmioty wstępne do zapisania się na przedmiot „Gry kombinatoryczne” to:

- Matematyka dyskretna  
- Algebra liniowa  
- Rachunek prawdopodobieństwa  
- Programowanie obiektowe  
- Procesory graficzne w zastosowaniach obliczeniowych  
- Programowanie C/C++  
- Algorytmy i struktury danych  
- Metody numeryczne"
Czego dotyczy efekt uczenia się o symbolu MAD2SMAD_U01 na specjalności Statystyka matematyczna i analiza danych?,Nie mam tej informacji w dostępnych zasobach.
Kto może zgłosić pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,"Zgłosić pracę do Ogólnopolskiego konkursu na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych mogą absolwenci studiów magisterskich, którzy obronili pracę magisterską w Polsce na uczelni wyższej. Praca musi dotyczyć tematyki uczenia maszynowego lub analizy danych i w zgłoszeniu należy podać datę obrony, wydział oraz uczelnię, na której praca została obroniona. Nie ma dodatkowych ograniczeń co do konkretnego kierunku – dopuszczalne są prace z kierunków związanych z analizą danych, takich jak Inżynieria i Analiza Danych, Matematyka i Analiza Danych, Matematyka oraz pokrewne specjalności."
"Ile punktów można maksymalnie zdobyć z przedmiotu ""Systemy wspomagania decyzji"" i ile wynosi próg punktowy niezbędny do jego zaliczenia?","Maksymalna liczba punktów, jaką można uzyskać z przedmiotu „Systemy wspomagania decyzji”, wynosi 100 punktów. Próg punktowy niezbędny do zaliczenia przedmiotu wynosi 51 punktów."
Jakie wsparcie finansowe otrzymuje student uczestniczący w projekcie „Szkoła Orłów na PW”?,Nie mam tej informacji w dostępnych zasobach.
Pod jakim numerem telefonu studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów?,Studenci kierunku Inżynieria i Analiza Danych mogą kontaktować się z dziekanatem pod numerem telefonu 22 234‑59‑22.
"Na którym semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych realizowany jest przedmiot ""Wstęp do uczenia maszynowego""?",Nie mam tej informacji w dostępnych zasobach.
Do kiedy należy składać wnioski o stypendium Ministra na rok akademicki 2025/2026?,Wniosek o stypendium Ministra należy złożyć najpóźniej do 15 października 2025 r.
Jakie funkcje uczelniane na Politechnice Warszawskiej pełni dr inż. Krzysztof Kaczmarski?,"dr inż. Krzysztof Kaczmarski pełni następujące funkcje uczelniane na Politechnice Warszawskiej:  
Prodziekan ds. nauczania Wydziału Matematyki i Nauk Informacyjnych.  
Członek Rady Wydziału.  
Członek Komisji Programowej dla kierunku Inżynieria i Analiza Danych.  
Przewodniczący Wydziałowej Komisji Rekrutacyjnej oraz osoba odpowiedzialna za kierunek Informatyka i Systemy Informacyjne.  
Członek Uczelnianej Rady ds. Jakości Kształcenia.  
Adiunkt (bad.-dyd.) w Uczelnianej Radzie ds. Jakości Kształcenia.  
Członek Senackiej Komisji ds. Kształcenia.  
Adiunkt (bad.-dyd.) w Senackiej Komisji ds. Kształcenia.  
Pełnomocnik Dziekana ds. Zapewnienia Jakości Kształcenia.  
Przewodniczący Dziekańskiej Komisji ds. Jakości Kształcenia.  
Członek Komisji Programowej dla kierunku Informatyka i Systemy Informacyjne (przewodniczący).  
Adiunkt (bad.-dyd.) w Zakładzie Systemów Przetwarzania Informacji.  
Pracownik badawczy i badawczo‑dydaktyczny Wydziału."
Kto pełni funkcję Pełnomocnika Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI?,Pełnomocnikiem Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI jest mgr Ewelina Szczęsna.
Kto może ubiegać się o stypendium socjalne w zwiększonej wysokości?,"Stypendium socjalne w zwiększonej wysokości może otrzymać student Politechniki Warszawskiej, który jednocześnie pobiera stypendium socjalne i spełnia jedną z następujących warunków:

* jest zakwaterowany w domu studenckim PW lub w domu studenckim innej uczelni (przy przedstawieniu odpowiedniego zaświadczenia) albo w innym obiekcie (przy przedstawieniu umowy najmu), a codzienny dojazd z miejsca stałego zamieszkania do uczelni uniemożliwia lub w znacznym stopniu utrudnia studiowanie;
* jego sytuacja życiowa lub materialna, w tym przewlekła choroba studenta lub członka rodziny wpływająca na sytuację materialną, jest odpowiednio udokumentowana i dochód na osobę w rodzinie nie przekracza 1 908,90 zł (lub 45 % minimalnego wynagrodzenia za pracę);
* w szczególnie uzasadnionych przypadkach, po przedłożeniu dokumentu potwierdzającego trudności w dojeździe.

Wniosek o stypendium socjalne w zwiększonej wysokości należy złożyć elektronicznie w systemie USUSweb w terminie od 23 lutego do 8 marca 2026 r. oraz niezwłocznie poinformować dziekanat o ustaniu prawa do przyznanego świadczenia."
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent mają obowiązek zamieścić recenzje pracy w systemie APD?,Promotor i recenzent muszą zamieścić recenzje pracy dyplomowej w systemie APD co najmniej trzy dni przed wyznaczonym terminem egzaminu dyplomowego.
"Ile punktów ECTS należy minimalnie uzyskać do końca zimowej lub jesiennej sesji egzaminacyjnej, aby otrzymać rejestrację na trzeci semestr studiów pierwszego stopnia?","Aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia, należy do końca zimowej lub jesiennej sesji egzaminacyjnej uzyskać co najmniej 40 ECTS."
"Który dokument związany z realizacją praktyk studenckich jako jedyny musi zostać obowiązkowo dostarczony na uczelnię w formie papierowej, o ile nie jest podpisany kwalifikowanym podpisem elektronicznym?","Jedynym dokumentem, który musi być dostarczony na uczelnię w formie papierowej (o ile nie jest podpisany kwalifikowanym podpisem elektronicznym), jest **Sprawozdanie z przebiegu praktyk studenckich**."
Z jakimi konsekwencjami wiąże się stwierdzenie niesamodzielnej pracy studenta lub korzystanie z niedozwolonych materiałów czy urządzeń podczas sprawdzianu?,"Stwierdzenie niesamodzielności pracy studenta lub korzystanie z niedozwolonych materiałów lub urządzeń podczas weryfikacji efektów uczenia się pociąga następujące konsekwencje określone w § 19 punkt 4 Regulaminu studiów Politechniki Warszawskiej:

- student otrzymuje ocenę niedostateczną z danego przedmiotu,
- traci prawo do zaliczenia przedmiotu w bieżącej realizacji, co oznacza konieczność powtórzenia przedmiotu w kolejnej edycji."
"Do kogo skierowany jest elitarny program ""Studia id""?","Elitarny program „Studia id” jest skierowany do najlepszych kandydatów i studentów – laureatów oraz finalistów olimpiad (matematycznej, fizycznej, chemicznej, informatycznej i astronomicznej) oraz osób z wybitnymi wynikami po I stopniu studiów, które chcą realizować indywidualne, interdyscyplinarne studia na Politechnice Warszawskiej."
"Czy absolwenci studiów I stopnia z innych uczelni mogą przepisać praktyki zrealizowane na swoich macierzystych uczelniach jako zaliczenie przedmiotu ""Praktyki""?",Absolwenci studiów I stopnia z innych uczelni nie mogą przepisać praktyk zrealizowanych na swoich macierzystych uczelniach jako zaliczenie przedmiotu „Praktyki”. Przepisywanie praktyk dotyczy wyłącznie praktyk odbytych w ramach studiów I stopnia na Wydziale MiNI PW.
Kto ufundował stypendium dla najlepszego laureata Powszechnego Internetowego Konkursu z matematyki pochodzącego spoza dużego miasta?,Nie mam tej informacji w dostępnych zasobach.
W jaki sposób należy składać podanie o urlop zdrowotny lub urlop okolicznościowy?,"Podanie o urlop zdrowotny lub urlop okolicznościowy składa się elektronicznie w systemie USOSweb. Należy zalogować się na swoje konto w USOSweb, wybrać zakładkę „Wnioski i podania”, a następnie wybrać odpowiedni formularz – „Podanie o urlop zdrowotny” lub „Podanie o urlop okolicznościowy”. W formularzu należy podać dane osobowe, wskazać rodzaj urlopu, określić planowany okres jego trwania oraz dołączyć wymagane dokumenty potwierdzające okoliczności (np. zaświadczenie lekarskie, akt urodzenia dziecka, zaświadczenie o stażu lub praktyce). Po wypełnieniu i załączeniu wszystkich niezbędnych załączników wniosek należy zatwierdzić i wysłać. Po złożeniu podania system wyśle potwierdzenie na podany adres e‑mail oraz przekaże wniosek do dziekana w celu rozpatrzenia."
"Jakie kryteria oceniania obowiązują na przedmiocie ""Matematyka popularna""?","Kryteria oceniania przedmiotu „Matematyka popularna” obejmują następujące elementy:

- Ocena aktywności uczestnika w czasie wystąpień kolegów (maksymalnie 20 punktów).  
- Ocena prezentacji pod kątem poprawności merytorycznej oraz sposobu przedstawienia (maksymalnie 30 punktów).  
- Aktywność na warsztatach, test zaliczeniowy, jeden projekt w ciągu roku, test końcowy (30 punktów), aktywność na ćwiczeniach (10 punktów) oraz projekty (10 punktów).  
- Ćwiczenia (łącznie 40 punktów), w tym kolokwia i aktywność na zajęciach.  
- Wygłoszenie referatu, pisemne opracowanie oraz aktywność na zajęciach.  
- Kolokwium pisemne, które stanowi 30 % oceny.  
- Praca kontrolna oraz zaliczenie projektu laboratoryjnego.  
- Zadania na ćwiczeniach (30 % oceny) oraz egzamin ustny (70 % oceny).  
- Projekt, który stanowi 40 % oceny.  
- Rozwiązania 6 prac domowych, test oraz 2 zadania projektowe, które łącznie wchodzą w zaliczenie.  
- Zadania domowe, które stanowią 30 % oceny.  

Łączna liczba punktów możliwych do uzyskania wynosi 100 punktów. Wszystkie wymienione elementy są brane pod uwagę przy ocenie końcowej przedmiotu."
Czy student może ubiegać się o dofinansowanie kosztów związanych z odbywaniem obowiązkowych praktyk studenckich?,"Tak, student może ubiegać się o dofinansowanie kosztów związanych z odbywaniem obowiązkowych praktyk studenckich, pod warunkiem spełnienia następujących kryteriów:

1. Praktyka odbywa się poza stałym miejscem zamieszkania i siedzibą uczelni.  
2. Student przedkłada należycie udokumentowane wydatki na zakwaterowanie oraz dojazdy.  
3. Wniosek o dofinansowanie kierowany jest do Pełnomocnika Dziekana ds. Praktyk Studenckich (obecnie dr inż. Łukasz Błaszczyk).  

Nie przysługuje dofinansowanie, jeśli student uzyskał zaliczenie praktyk na podstawie § 7 regulaminu. Wszystkie pozostałe warunki muszą być spełnione, aby wniosek mógł zostać rozpatrzony pozytywnie."
"Na którym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych realizowany jest przedmiot ""Wstęp do eksploracji danych""?",Przedmiot „Wstęp do eksploracji danych” realizowany jest w semestrze 4 studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych.
"Jakie są warunki zaliczenia przedmiotu ""Gry kombinatoryczne""?","Warunkiem zaliczenia przedmiotu „Gry kombinatoryczne” jest uzyskanie minimum 51 punktów na 100 możliwych, przy czym co najmniej 50 % punktów musi pochodzić z egzaminu oraz łącznie z egzaminu i ćwiczeń, a stosunek punktów za egzamin do punktów za ćwiczenia wynosi 3 : 2. Zaliczenie projektu oraz zdanie egzaminu końcowego są również wymagane. Warunkiem zaliczenia ćwiczeń jest wykonanie co najmniej 50 % zadań domowych."
"Jaki przedmiot jest wymagany jako wstępny przed rozpoczęciem realizacji przedmiotu obieralnego ""Programowanie w języku asemblera""?",Wymaganym przedmiotem wstępnym przed rozpoczęciem realizacji przedmiotu obieralnego „Programowanie w języku asemblera” jest **Programowanie 2 – obiektowe**.
"Ile punktów minimum trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?","Aby zaliczyć przedmiot „Systemy wspomagania decyzji”, należy uzyskać co najmniej 27 punktów."
Jakie rodzaje pytań zadaje Komisja studentowi w toku indywidualnego egzaminu dyplomowego?,"Komisja w toku indywidualnego egzaminu dyplomowego zadaje studentowi pytania dotyczące:  

– opisu wyników i metodologii pracy dyplomowej oraz odpowiedzi na pytania związane z treścią tej pracy,  

– zagadnień problemowych z zakresu programu studiów, które mają sprawdzić znajomość materiału obowiązującego w danej specjalności,  

– pytań teoretycznych oraz zadań do samodzielnego rozwiązania, które służą ocenie umiejętności analitycznych i praktycznych studenta.  

Prawo do zadawania pytań przysługuje wyłącznie członkom komisji (przewodniczącemu, promotorowi, recenzentowi oraz nauczycielowi akademickiemu reprezentującemu specjalność lub kierunek studiów dyplomanta)."
Jaki jest numer telefonu do dziekanatu w sprawach toku studiów dla studentów kierunku Informatyka i Systemy Informacyjne?,Numer telefonu do dziekanatu w sprawach toku studiów dla studentów kierunku Informatyka i Systemy Informacyjne to 22 234‑53‑63.
"Na jakim stopniu studiów realizowany jest przedmiot obieralny ""Siła nauki - granice poznania""?",Przedmiot obieralny „Siła nauki – granice poznania” realizowany jest na studiach pierwszego oraz drugiego stopnia.
Ile punktów ECTS jest przypisanych do pracy dyplomowej na szóstym semestrze studiów pierwszego stopnia na kierunku Matematyka?,Praca dyplomowa w szóstym semestrze studiów pierwszego stopnia na kierunku Matematyka i Nauk Informacyjnych jest warta 15 ECTS.
Jaki jest maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026?,"Maksymalny próg dochodowy na osobę w rodzinie, uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026, wynosi 1 908,90 zł."
Czy student ma obowiązek złożyć wydrukowany egzemplarz pracy dyplomowej w dziekanacie?,Student nie ma obowiązku składać wydrukowanego egzemplarza pracy dyplomowej w dziekanacie. W dziekanacie nie przyjmuje się papierowej wersji pracy dyplomowej.
"Ile punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr na studiach pierwszego stopnia?","Aby zarejestrować się na trzeci semestr studiów pierwszego stopnia, należy uzyskać co najmniej 40 ECTS."
"Jaką minimalną średnią ważoną ocen trzeba uzyskać na pierwszym roku studiów, aby móc ubiegać się o udział w projekcie ""Szkoła Orłów na PW""?","Minimalna średnia ważona ocen wymagana na I roku studiów wynosi 4,2."
Jakie są konsekwencje niesamodzielnej pracy lub korzystania z niedozwolonych urządzeń podczas sprawdzianu?,"Niesamodzielna praca lub korzystanie z niedozwolonych materiałów i urządzeń podczas weryfikacji efektów uczenia się skutkuje przyznaniem oceny niedostatecznej (2,0) zgodnie z § 19 punkt 4 Regulaminu studiów Politechniki Warszawskiej. Dodatkowo, jeżeli student przedstawi jako własne wyniki cudzą pracę, ocena końcowa może zostać obniżona o pół stopnia. Wszystkie inne urządzenia, które nie są niezbędne do przeprowadzenia sprawdzianu, powinny być wyłączone i odłożone do toreb; ich użycie również może być uznane za naruszenie regulaminu i skutkować oceną niedostateczną."
Czy porozumienie o organizacji praktyk studenckich można dostarczyć do dziekanatu w postaci skanu?,"Nie, porozumienie o organizacji praktyk studenckich nie może być dostarczone do dziekanatu wyłącznie w postaci skanu. Zgodnie z obowiązującymi procedurami Pełnomocnik Dziekana ds. Praktyk Studenckich wymaga otrzymania trzech oryginalnych egzemplarzy dokumentu, które przekazuje student. Dlatego należy dostarczyć fizyczne, podpisane egzemplarze, a nie jedynie ich skany."
W jakim pokoju w Gmachu MiNI przyjmuje dr inż. Magdalena Jasionowska-Skop?,Dr inż. Magdalena Jasionowska‑Skop przyjmuje w pokoju 556 w Gmachu MiNI na Kampusie Głównym PW.
"Ile punktów ECTS jest przypisanych do pracy dyplomowej na czwartym semestrze studiów drugiego stopnia na kierunku Matematyka, na specjalności Indywidualne Studia Matematyczne?",Nie mam tej informacji w dostępnych zasobach.
W jakiej formie należy składać podanie o urlop zdrowotny?,"Podanie o urlop zdrowotny można złożyć osobiście, listownie lub drogą elektroniczną – najczęściej przesyłając je mailem. Wszystkie te formy są dopuszczalne."
Do czego służy system Fair Play na Wydziale MiNI?,"System Fair Play służy do ograniczania komunikacji elektronicznej w laboratoriach komputerowych podczas punktowanych zaliczeń, aby zapobiegać ściąganiu i zapewnić uczciwość egzaminacyjną."
"Ile minimum punktów trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?",Nie mam tej informacji w dostępnych zasobach.
Z kim Dziekan ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studentów odbywających praktyki poza stałym miejscem zamieszkania?,Dziekan ustala zasady dofinansowania kosztów zakwaterowania i dojazdów w porozumieniu z Wydziałową Radą Samorządu Studentów.
Czy dziekanat Wydziału MiNI jest otwarty dla studentów w środy?,"Nie, dziekanat Wydziału MiNI jest zamknięty w środy."
Czy do dziekanatu należy dostarczyć wydrukowany egzemplarz pracy dyplomowej?,"Nie, w dziekanacie nie składa się wydrukowanego egzemplarza pracy dyplomowej. Wszystkie niezbędne dokumenty i pliki należy przekazać elektronicznie."
Ile razy w roku akademickim student może otrzymać zapomogę?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
"O ile miesięcy studenci ostatniego semestru mogą przedłużyć termin złożenia pracy dyplomowej, jeśli zrealizowali cały program studiów?","Studenci ostatniego semestru, którzy zrealizowali cały program studiów, mogą przedłużyć termin złożenia pracy dyplomowej o trzy miesiące."
Do kogo pracownik uczelni składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na Wydziale MiNI?,Pracownik uczelni składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych do Prodziekana ds. Studenckich na Wydziale MiNI.
"Ile minimum punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr studiów drugiego stopnia?","Aby zarejestrować się na trzeci semestr studiów drugiego stopnia, należy uzyskać co najmniej 48 ECTS."
Jaki dokument tożsamości powinien leżeć na stole studenta podczas sprawdzianu lub egzaminu na Wydziale MiNI?,"Podczas sprawdzianu lub egzaminu student powinien mieć na stole dokument tożsamości (np. dowód osobisty) lub legitymację studencką, gotowy do okazania na wezwanie."
"W którym semestrze studiów pierwszego stopnia na kierunku Matematyka realizowany jest przedmiot ""Modelowanie matematyczne""?",Przedmiot „Modelowanie matematyczne” realizowany jest w semestrze 6 studiów pierwszego stopnia na kierunku Matematyka.
W jakiej formie należy złożyć podanie o urlop zdrowotny?,"Podanie o urlop zdrowotny można złożyć osobiście, listownie lub drogą elektroniczną – najczęściej poprzez przesłanie dokumentu pocztą elektroniczną (mailowo). Wszystkie te formy są dopuszczalne."
Jaki jest numer telefonu służbowego do dr. inż. Krzysztofa Kaczmarskiego?,Numer telefonu służbowego dr inż. Krzysztofa Kaczmarskiego to (22) 234 5923.
"W jakim języku prowadzone są zajęcia z przedmiotu obieralnego ""Algorytmy Probabilistyczne""?",Zajęcia z przedmiotu obieralnego „Algorytmy Probabilistyczne” prowadzone są w języku polskim.
Ile punktów ECTS jest przypisanych do pracy dyplomowej w planie studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?,Praca dyplomowa w planie studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych jest warta 20 punktów ECTS.
Kto na wydziale sporządza zbiorcze podsumowanie oceny wiedzy i umiejętności studentów z punktu widzenia pracodawców?,Pełnomocnik ds. Praktyk sporządza zbiorcze podsumowanie oceny wiedzy i umiejętności studentów z punktu widzenia pracodawców.
Ile kosztuje wydanie duplikatu elektronicznej legitymacji studenckiej?,"Wydanie duplikatu elektronicznej legitymacji studenckiej kosztuje 33,00 zł."
"Jakie są przedmioty poprzedzające (wymagania wstępne) dla przedmiotu ""Gry kombinatoryczne""?","Wymagania wstępne dla przedmiotu „Gry kombinatoryczne” obejmują następujące przedmioty i zagadnienia:

- Matematyka dyskretna  
- Algebra liniowa  
- Rachunek prawdopodobieństwa  
- Elementy probabilistyki  
- Analiza matematyczna 1  
- Analiza matematyczna 2  
- Analiza matematyczna 3  
- Analiza funkcjonalna  
- Równania różniczkowe  
- Liczby zespolone i działania na nich  
- Procesy stochastyczne  
- Statystyka  
- Programowanie (w tym programowanie obiektowe)  
- Algorytmika  
- Podstawy sztucznej inteligencji  
- Wstęp do uczenia maszynowego oraz zaawansowany kurs uczenia maszynowego."
"Jakie dokumenty są potrzebne, aby dołączyć do Szkoły Orłów?","Do wniosku o przyjęcie do Szkoły Orłów na PW należy dołączyć następujące dokumenty:

1. Wniosek o przyjęcie do Szkoły (formularz rekrutacyjny) złożony w systemie IRK.  
2. Dokumenty potwierdzające posiadanie tytułu zawodowego (np. dyplom, odpis dyplomu ukończenia studiów I stopnia lub II stopnia, w zależności od statusu).  
3. Potwierdzenie wniesienia opłaty lub opłat rekrutacyjnych.  
4. Potwierdzenie średniej ocen z pierwszego roku studiów.  
5. Zaświadczenie z Urzędu Skarbowego o wysokości dochodów uzyskanych przez wszystkich pełnoletnich członków rodziny w roku kalendarzowym poprzedzającym bieżący rok akademicki.  
6. Podpisana opinia wybranego wykładowcy.  
7. Zaświadczenie o uczestnictwie w studiach magisterskich lub doktoranckich w dyscyplinie matematyka lub informatyka, z podaniem aktualnego semestru studiów (dotyczy studentów rozpoczynających studia w roku akademickim 2021/22 lub 2022/23 i później).  
8. Dokumenty wskazujące siedzibę pracodawcy oraz dokładny adres (jeśli dotyczy zatrudnienia).  
9. Życiorys uwzględniający posiadane wykształcenie oraz doświadczenie badawcze.  
10. Dla kandydatów posiadających rodzeństwo – jeden z dokumentów: skrócony odpis aktu urodzenia lub zaświadczenie ze szkoły dla rodzeństwa do 18 lat.  

Wszystkie wymienione dokumenty należy złożyć w terminie określonym w harmonogramie rekrutacji, najczęściej drogą elektroniczną (mailowo), chyba że wymagana jest kwalifikowana podpisana wersja elektroniczna. Jeśli brakuje któregoś z dokumentów, wniosek może zostać odrzucony."
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent powinni zamieścić recenzję w systemie APD?,Promotor i recenzent powinni zamieścić recenzję w systemie APD co najmniej trzy dni przed wyznaczonym terminem egzaminu dyplomowego.
Ile razy w ciągu roku akademickiego student może otrzymać zapomogę?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
Ile wynosi nagroda za zajęcie pierwszego miejsca w Ogólnopolskim konkursie na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,Nagroda za zajęcie pierwszego miejsca wynosi 4 000 zł.
Pod jakim numerem telefonu można skontaktować się z dziekanatem Wydziału MiNI w sprawach związanych z systemem USOS oraz rekrutacją?,Numer telefonu do Dziekanatu Wydziału MiNI w sprawach USOS i rekrutacji to 22 234‑59‑24.
"Ile punktów ECTS należy uzyskać, aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia?","Aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia, należy uzyskać co najmniej 40 ECTS."
W jakim terminie należy złożyć wniosek o stypendium Ministra za znaczące osiągnięcia?,Termin składania wniosków o Stypendium Ministra za znaczące osiągnięcia upływa 15 października 2025 r. (środa).
Jakie dokumenty potwierdzające tożsamość powinny leżeć na stole studenta podczas sprawdzianu lub egzaminu?,"Na stole studenta podczas sprawdzianu lub egzaminu powinna znajdować się osobista legitymacja studencka lub dowód osobisty, które służą do potwierdzenia tożsamości."
W jaki sposób student powinien złożyć podanie o urlop zdrowotny?,"Student powinien złożyć podanie o urlop zdrowotny w następujący sposób:

1. Zalogować się do systemu USOSweb przy użyciu swojego loginu i hasła.  
2. W sekcji „Usługi studenckie” wybrać opcję „Podania i wnioski”.  
3. Spośród dostępnych formularzy odnaleźć i otworzyć „Podanie o urlop zdrowotny”.  
4. Wypełnić wszystkie pola formularza, podając m.in. dane osobowe, numer albumu, aktualny rachunek bankowy oraz opis przyczyny ubiegania się o urlop.  
5. Do wniosku dołączyć wymagane dokumenty, w szczególności:
   - skierowanie z uczelni (jeśli jest wymagane),
   - zaświadczenie lekarskie potwierdzające brak przeciwwskazań zdrowotnych do kontynuowania studiów,
   - ewentualne dodatkowe dokumenty określone w wewnętrznych aktach prawnych uczelni.  
6. Po uzupełnieniu formularza i dołączeniu załączników zatwierdzić podanie elektronicznie przyciskiem „Wyślij”.  
7. Po złożeniu wniosku system wygeneruje potwierdzenie z numerem sprawy, które należy zachować jako dowód złożenia podania.  

W razie potrzeby student może skontaktować się z dziekanatem (godziny otwarcia: poniedziałek, wtorek, czwartek, piątek 11:00‑14:00) w celu uzyskania dodatkowych informacji lub wyjaśnień."
W jakim zakładzie pracuje dr inż. Magdalena Jasionowska-Skop?,Dr inż. Magdalena Jasionowska‑Skop jest adiunktem w Zakładzie Projektowania Systemów CAD/CAM i Komputerowego Wspomagania Medycyny.
Ile punktów ECTS jest przypisanych do przedmiotu Modelowanie matematyczne w planie studiów pierwszego stopnia na kierunku Matematyka?,Przedmiot „Modelowanie matematyczne” na kierunku Matematyka i Nauk Informacyjnych (studia pierwszego stopnia) jest wart 4 punkty ECTS.
W jakiej formie student powinien dostarczyć porozumienie dotyczące praktyk studenckich?,"Student powinien dostarczyć Pełnomocnikowi ds. Praktyk trzy egzemplarze Porozumienia o organizacji obowiązkowych praktyk studenckich, przy czym każdy egzemplarz musi być podpisany zarówno przez pracodawcę (przedstawiciela podmiotu zewnętrznego), jak i przez studenta."
Ile wynosi opłata za wydanie duplikatu elektronicznej legitymacji studenckiej?,"Opłata za wydanie duplikatu elektronicznej legitymacji studenckiej wynosi 33,00 zł."
