pytanie,odpowiedz_wygenerowana,zwrocone_linki
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Dziekanat jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach 11:00-14:00."
"Ile punktów można maksymalnie zdobyć z przedmiotu ""Systemy wspomagania decyzji"" i ile wynosi próg punktowy niezbędny do jego zaliczenia?","Maksymalna liczba dostępnych punktów w kursie wynosi 100, a próg zaliczenia wynosi 51 punktów."
Jakie wsparcie finansowe otrzymuje student uczestniczący w projekcie „Szkoła Orłów na PW”?,"W dostępnych zasobach nie ma informacji o tym, jakie konkretne wsparcie finansowe otrzymuje student uczestniczący w projekcie Szkoła Orłów na PW."
Pod jakim numerem telefonu studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem w sprawach toku studiów?,Studenci kierunku Inżynieria i Analiza Danych mogą skontaktować się z dziekanatem pod numerem telefonu 22 234-59-22.
"Na którym semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych realizowany jest przedmiot ""Wstęp do uczenia maszynowego""?",Nie mam tej informacji w dostępnych zasobach.
Do kiedy należy składać wnioski o stypendium Ministra na rok akademicki 2025/2026?,Termin składania wniosków o stypendium Ministra mija 15 października 2025 roku.
Jakie funkcje uczelniane na Politechnice Warszawskiej pełni dr inż. Krzysztof Kaczmarski?,"Dr inż. Krzysztof Kaczmarski pełni funkcję prodziekana ds. nauczania Wydziału Matematyki i Nauk Informacyjnych. Jest on również pełnomocnikiem Dziekana ds. Zapewnienia Jakości Kształcenia oraz przewodniczącym Dziekańskiej Komisji ds. Jakości Kształcenia. Ponadto dr inż. Krzysztof Kaczmarski jest przewodniczącym Wydziałowej Komisji Rekrutacyjnej oraz osobą odpowiedzialną za kierunek Informatyka i Systemy Informacyjne. W ramach prac komisji programowych pełni funkcję przewodniczącego Komisji Programowej dla kierunku Informatyka i Systemy Informacyjne oraz członka Komisji Programowej dla kierunku Inżynieria i Analiza Danych. Dodatkowo jest członkiem Rady Wydziału, członkiem Senackiej Komisji ds. Kształcenia oraz członkiem Uczelnianej Rady ds. Jakości Kształcenia."
Kto pełni funkcję Pełnomocnika Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI?,Funkcję Pełnomocnika Dziekana ds. osób z niepełnosprawnościami na Wydziale MiNI pełni mgr Ewelina Szczęsna.
Kto może ubiegać się o stypendium socjalne w zwiększonej wysokości?,"O st stypendium socjalne w zwiększonej wysokości może ubiegać się student, który pobiera stypendium socjalne i jednocześnie zamieszkuje w domu studenckim Politechniki Warszawskiej, domu studenckim innej uczelni (po przedstawieniu zaświadczenia) lub innym obiekcie (po przedstawieniu umowy najmu), jeżeli codzienny dojazd z miejsca stałego zamieszkania do uczelni uniemożliwia lub w znacznym stopniu utrudnia studiowanie. Podstawą do przyznania świadczenia mogą być również szczególnie uzasadnione przypadki, w tym przewlekła choroba studenta lub członka jego rodziny, która wpływa na sytuację materialną rodziny. Warunkiem koniecznym jest, aby miesięczny dochód na osobę w rodzinie studenta nie przekraczał kwoty 1 908,90 zł."
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent mają obowiązek zamieścić recenzje pracy w systemie APD?,Promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
"Ile punktów ECTS należy minimalnie uzyskać do końca zimowej lub jesiennej sesji egzaminacyjnej, aby otrzymać rejestrację na trzeci semestr studiów pierwszego stopnia?","Aby otrzymać rejestrację na trzeci semestr studiów pierwszego stopnia po jesiennej sesji egzaminacyjnej we wrześniu, należy uzyskać co najmniej 40 ECTS z 60."
"Który dokument związany z realizacją praktyk studenckich jako jedyny musi zostać obowiązkowo dostarczony na uczelnię w formie papierowej, o ile nie jest podpisany kwalifikowanym podpisem elektronicznym?","W dostępnych zasobach nie ma informacji o dokumencie, który jako jedyny musi zostać dostarczony w formie papierowej, o ile nie posiada kwalifikowanego podpisu elektronicznego."
Z jakimi konsekwencjami wiąże się stwierdzenie niesamodzielnej pracy studenta lub korzystanie z niedozwolonych materiałów czy urządzeń podczas sprawdzianu?,"Zgodnie z regulaminem studiów w Politechnice Warszawskiej, stwierdzenie niesamodzielności pracy studenta lub korzystanie przez niego z materiałów lub urządzeń innych niż dozwolone w regulaminie przedmiotu podczas weryfikacji osiągnięcia efektów uczenia się skutkuje uzyskaniem oceny niedostatecznej. Ponadto student traci w takiej sytuacji prawo do zaliczenia przedmiotu w jego bieżącej realizacji."
"Do kogo skierowany jest elitarny program ""Studia id""?","Program studiów id jest skierowany do najlepszych kandydatów na studia stacjonarne I i II stopnia, w tym do studentów z najlepszymi wynikami po I stopniu studiów oraz do finalistów i laureatów olimpiad matematycznej, fizycznej, chemicznej, informatycznej i astronomicznej."
"Czy absolwenci studiów I stopnia z innych uczelni mogą przepisać praktyki zrealizowane na swoich macierzystych uczelniach jako zaliczenie przedmiotu ""Praktyki""?","Absolwenci innych uczelni, którzy zrealizowali praktyki na studiach I stopnia, muszą złożyć dokumenty zgodnie z jedną z trzech form zaliczenia praktyk. Jednocześnie należy zaznaczyć, że nie ma możliwości przepisania praktyk jako przedmiotu z innych uczelni."
Kto ufundował stypendium dla najlepszego laureata Powszechnego Internetowego Konkursu z matematyki pochodzącego spoza dużego miasta?,Nie mam tej informacji w dostępnych zasobach.
W jaki sposób należy składać podanie o urlop zdrowotny lub urlop okolicznościowy?,Podanie o urlop zdrowotny lub urlop okolicznościowy jest dostępne w systemie USOSweb.
"Jakie kryteria oceniania obowiązują na przedmiocie ""Matematyka popularna""?","Kryteria oceniania przedmiotu Matematyka popularna są zróżnicowane i obejmują następujące elementy:
Ocena prezentacji, w tym jej poprawność merytoryczna oraz sposób przedstawienia, pozwala uzyskać maksymalnie 30 punktów.
Aktywność uczestnika podczas wystąpień innych osób jest oceniana do maksymalnie 20 punktów.
Zaliczenie przedmiotu odbywa się na ocenę, a całkowita liczba punktów do zdobycia wynosi 100.
W ramach kryteriów oceniania wymieniane są również: aktywność na warsztatach, test zaliczeniowy, jeden projekt w ciągu roku, test końcowy na 30 punktów, aktywność na ćwiczeniach na 10 punktów oraz projekty na 10 punktów.
Dodatkowo kryteria obejmują wygłoszenie referatu, pisemne opracowanie oraz aktywność na zajęciach.
W innych wariantach oceniania wskazano na kolokwium pisemne, pracę kontrolną, zaliczenie projektu laboratoryjnego, zadania na ćwiczeniach stanowiące 30 procent oceny oraz egzamin ustny stanowiący 70 procent oceny.
Wspomniano również o projektach stanowiących 40 procent oceny, kolokwium stanowiącym 30 procent oceny oraz zadaniach domowych stanowiących 30 procent oceny.
W ramach zaliczenia mogą być również brane pod uwagę oceny za rozwiązania sześciu prac domowych, test oraz dwa zadania projektowe.
Zajęcia laboratoryjne skupiają się na praktycznym wykorzystaniu środowiska Mathematica w pracy badawczej oraz samodzielnej pracy studentów."
Czy student może ubiegać się o dofinansowanie kosztów związanych z odbywaniem obowiązkowych praktyk studenckich?,"Student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania i dojazdów. Dofinansowanie to nie przysługuje jednak studentowi, który uzyskał zaliczenie praktyk na podstawie paragrafu 7."
"Na którym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych realizowany jest przedmiot ""Wstęp do eksploracji danych""?",Przedmiot Wstęp do eksploracji danych na kierunku Matematyka i Analiza Danych (studia pierwszego stopnia) realizowany jest w semestrze 4.
"Jakie są warunki zaliczenia przedmiotu ""Gry kombinatoryczne""?","Warunkiem zaliczenia przedmiotu Gry kombinatoryczne jest zaliczenie projektu oraz zdanie egzaminu końcowego. Do zaliczenia przedmiotu wymagane jest uzyskanie co najmniej 51 punktów na 100 punktów maksymalnie. Niezbędne jest zdobycie co najmniej 50 procent punktów z egzaminu oraz łącznie z egzaminu i ćwiczeń, przy czym stosunek punktów za egzamin i ćwiczenia wynosi 3:2. Dodatkowo do zaliczenia ćwiczeń wymagane jest wykonanie co najmniej 50 procent zadań domowych oraz zdobycie co najmniej 50 procent punktów."
"Jaki przedmiot jest wymagany jako wstępny przed rozpoczęciem realizacji przedmiotu obieralnego ""Programowanie w języku asemblera""?",Wymaganiami wstępnymi dla przedmiotu Programowanie w języku asemblera są Programowanie 1 – strukturalne oraz Programowanie 2 – obiektowe.
"Ile punktów minimum trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?",Nie mam tej informacji w dostępnych zasobach.
Jakie rodzaje pytań zadaje Komisja studentowi w toku indywidualnego egzaminu dyplomowego?,Komisja ustala ocenę egzaminu dyplomowego na podstawie odpowiedzi dyplomanta na pytania dotyczące pracy dyplomowej oraz na pytania problemowe.
Jaki jest numer telefonu do dziekanatu w sprawach toku studiów dla studentów kierunku Informatyka i Systemy Informacyjne?,Numer telefonu do Dziekanatu w sprawach kierunku Informatyka i Systemy Informacyjne to 22 234-53-63.
"Na jakim stopniu studiów realizowany jest przedmiot obieralny ""Siła nauki - granice poznania""?",Przedmiot obieralny Siła nauki - granice poznania jest realizowany na drugim stopniu studiów.
Ile punktów ECTS jest przypisanych do pracy dyplomowej na szóstym semestrze studiów pierwszego stopnia na kierunku Matematyka?,"Na kierunku Matematyka i Nauk Informacyjnych (MiNI), studia pierwszego stopnia, w semestrze 6 przedmiot Praca dyplomowa jest wart 15 ECTS."
Jaki jest maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026?,"Maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026 wynosi 1 908,90 zł."
Czy student ma obowiązek złożyć wydrukowany egzemplarz pracy dyplomowej w dziekanacie?,Student nie składa wydrukowanego egzemplarza pracy dyplomowej w dziekanacie.
"Ile punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr na studiach pierwszego stopnia?","Aby zarejestrować się na trzeci semestr studiów pierwszego stopnia, należy uzyskać co najmniej 40 punktów ECTS. W przypadku rejestracji po jesiennej sesji egzaminacyjnej we wrześniu, wymagane jest uzyskanie co najmniej 40 punktów ECTS z 60 możliwych do uzyskania."
"Jaką minimalną średnią ważoną ocen trzeba uzyskać na pierwszym roku studiów, aby móc ubiegać się o udział w projekcie ""Szkoła Orłów na PW""?","Aby przystąpić do projektu Szkoła Orłów na PW, studenci muszą uzyskać średnią ważoną ocen na pierwszym roku studiów wynoszącą co najmniej 4,2."
Jakie są konsekwencje niesamodzielnej pracy lub korzystania z niedozwolonych urządzeń podczas sprawdzianu?,"Zgodnie z paragrafem 19 punkt 4 Regulaminu studiów w Politechnice Warszawskiej, stwierdzenie niesamodzielności pracy studenta lub korzystania przez niego z materiałów lub urządzeń innych niż dozwolone w regulaminie przedmiotu skutkuje uzyskaniem oceny niedostatecznej. Dodatkowo student traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji."
Czy porozumienie o organizacji praktyk studenckich można dostarczyć do dziekanatu w postaci skanu?,"W dostępnych zasobach nie ma informacji na temat możliwości dostarczenia porozumienia o organizacji praktyk studenckich w postaci skanu. Kontekst wskazuje jedynie, że Pełnomocnik ds. Praktyk przygotowuje porozumienie w trzech egzemplarzach, które student przekazuje podmiotowi zewnętrznemu w celu ich podpisania."
W jakim pokoju w Gmachu MiNI przyjmuje dr inż. Magdalena Jasionowska-Skop?,Dr inż. Magdalena Jasionowska-Skop przyjmuje w pokoju 556 w Gmachu MiNI na Kampusie Głównym PW.
"Ile punktów ECTS jest przypisanych do pracy dyplomowej na czwartym semestrze studiów drugiego stopnia na kierunku Matematyka, na specjalności Indywidualne Studia Matematyczne?",Nie mam tej informacji w dostępnych zasobach.
W jakiej formie należy składać podanie o urlop zdrowotny?,"Podanie o urlop zdrowotny jest dostępne w systemie USOSweb, a składanie dokumentów odbywa się mailowo."
Do czego służy system Fair Play na Wydziale MiNI?,System Fair Play na Wydziale MiNI służy do ograniczania komunikacji elektronicznej oraz ściągania podczas punktowanych zaliczeń w laboratoriach komputerowych.
"Ile minimum punktów trzeba uzyskać, aby zaliczyć przedmiot ""Systemy wspomagania decyzji""?",Nie mam tej informacji w dostępnych zasobach.
Z kim Dziekan ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studentów odbywających praktyki poza stałym miejscem zamieszkania?,Dziekan ustala zasady dofinansowania w porozumieniu z wydziałowym organem samorządu studentów.
Czy dziekanat Wydziału MiNI jest otwarty dla studentów w środy?,Dziekanat Wydziału MiNI jest nieczynny w środy.
Czy do dziekanatu należy dostarczyć wydrukowany egzemplarz pracy dyplomowej?,W dziekanacie nie składa się wydrukowanego egzemplarza pracy dyplomowej.
Ile razy w roku akademickim student może otrzymać zapomogę?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
"O ile miesięcy studenci ostatniego semestru mogą przedłużyć termin złożenia pracy dyplomowej, jeśli zrealizowali cały program studiów?","Studenci ostatniego semestru studiów, którzy zrealizowali cały program studiów, mogą złożyć podanie o przedłużenie terminu złożenia pracy dyplomowej o maksymalnie trzy miesiące."
Do kogo pracownik uczelni składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na Wydziale MiNI?,"Sorry, I encountered an error while generating the response."
"Ile minimum punktów ECTS należy uzyskać, aby zarejestrować się na trzeci semestr studiów drugiego stopnia?","Aby zarejestrować się na semestr 3 studiów drugiego stopnia, na wszystkich kierunkach i specjalnościach, należy uzyskać co najmniej 48 ECTS z 60."
Jaki dokument tożsamości powinien leżeć na stole studenta podczas sprawdzianu lub egzaminu na Wydziale MiNI?,Osoba przystępująca do weryfikacji osiągnięcia efektów uczenia się jest zobowiązana na wezwanie okazać dokument tożsamości lub legitymację studencką.
"W którym semestrze studiów pierwszego stopnia na kierunku Matematyka realizowany jest przedmiot ""Modelowanie matematyczne""?",Przedmiot Modelowanie matematyczne na kierunku Matematyka (studia pierwszego stopnia) realizowany jest w semestrze 6.
W jakiej formie należy złożyć podanie o urlop zdrowotny?,Podanie o urlop zdrowy składa się mailowo.
Jaki jest numer telefonu służbowego do dr. inż. Krzysztofa Kaczmarskiego?,Numer telefonu służbowego dr inż. Krzysztofa Kaczmarskiego to (22) 234 5923.
"W jakim języku prowadzone są zajęcia z przedmiotu obieralnego ""Algorytmy Probabilistyczne""?",Zajęcia z przedmiotu Algorytmy Probabilistyczne są prowadzone w języku angielskim.
Ile punktów ECTS jest przypisanych do pracy dyplomowej w planie studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?,Nie mam tej informacji w dostępnych zasobach.
Kto na wydziale sporządza zbiorcze podsumowanie oceny wiedzy i umiejętności studentów z punktu widzenia pracodawców?,"Sorry, I encountered an error while generating the response."
Ile kosztuje wydanie duplikatu elektronicznej legitymacji studenckiej?,"Sorry, I encountered an error while generating the response."
"Jakie są przedmioty poprzedzające (wymagania wstępne) dla przedmiotu ""Gry kombinatoryczne""?","Wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
"Jakie dokumenty są potrzebne, aby dołączyć do Szkoły Orłów?","Aby dołączyć do Szkoły Orłów, kandydat musi złożyć w systemie IRK wniosek o przyjęcie do Szkoły oraz następujące dokumenty: wypełniony formularz rekrutacyjny, życiorys uwzględniający posiadane wykształcenie oraz doświadczenie badawcze, podpisaną opinię wybranego wykładowcy, potwierdzenie średniej ocen na pierwszym roku studiów oraz potwierdzenie wniesienia opłaty lub opłat rekrutacyjnych. Dodatkowo wymagane jest przedłożenie odpisu dyplomu ukończenia studiów pierwszego stopnia w przypadku studentów lub drugiego stopnia w przypadku doktorantów, a także zaświadczenia o uczestnictwie w studiach magisterskich lub doktoranckich w dyscyplinie matematyka lub informatyka z podaniem aktualnego semestru studiów. Kandydat musi również dostarczyć dokumenty potwierdzające posiadanie tytułu zawodowego. Wszystkie wymagane dokumenty należy złożyć w terminie określonym w harmonogramie rekrutacji."
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent powinni zamieścić recenzję w systemie APD?,Promotor oraz recenzent powinni zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Ile razy w ciągu roku akademickiego student może otrzymać zapomogę?,"Sorry, I encountered an error while generating the response."
Ile wynosi nagroda za zajęcie pierwszego miejsca w Ogólnopolskim konkursie na najlepszą pracę magisterską dotyczącą uczenia maszynowego lub analizy danych?,Nagroda za zajęcie pierwszego miejsca w każdej kategorii wynosi 4 000 zł.
Pod jakim numerem telefonu można skontaktować się z dziekanatem Wydziału MiNI w sprawach związanych z systemem USOS oraz rekrutacją?,W sprawach związanych z systemem USOS oraz rekrutacją z dziekanatem Wydziału MiNI można skontaktować się pod numerem telefonu 22 234-59-24.
"Ile punktów ECTS należy uzyskać, aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia?","Aby uzyskać rejestrację na trzeci semestr studiów pierwszego stopnia po jesiennej sesji egzaminacyjnej we wrześniu, należy uzyskać co najmniej 40 punktów ECTS z 60 możliwych do uzyskania."
W jakim terminie należy złożyć wniosek o stypendium Ministra za znaczące osiągnięcia?,Termin składania wniosków o stypendium Ministra mija 15 października (środa) 2025 roku.
Jakie dokumenty potwierdzające tożsamość powinny leżeć na stole studenta podczas sprawdzianu lub egzaminu?,Na stole studenta powinna leżeć osobista legitymacja studencka lub dowód osobisty.
W jaki sposób student powinien złożyć podanie o urlop zdrowotny?,Podanie o urlop zdrowotny jest dostępne w systemie USOSweb.
W jakim zakładzie pracuje dr inż. Magdalena Jasionowska-Skop?,Dr inż. Magdalena Jasionowska-Skop pracuje w Zakładzie Projektowania Systemów CAD/CAM i Komputerowego Wspomagania Medycyny.
Ile punktów ECTS jest przypisanych do przedmiotu Modelowanie matematyczne w planie studiów pierwszego stopnia na kierunku Matematyka?,Nie mam tej informacji w dostępnych zasobach.
W jakiej formie student powinien dostarczyć porozumienie dotyczące praktyk studenckich?,"Sorry, I encountered an error while generating the response."
Ile wynosi opłata za wydanie duplikatu elektronicznej legitymacji studenckiej?,"Opłata za wydanie elektronicznej legitymacji studenckiej (duplikat) wynosi 33,00 zł."
W jakim terminie zespół rozpoczyna realizację pracy dyplomowej inżynierskiej?,Zespół rozpoczyna realizację pracy dyplomowej inżynierskiej w ramach zajęć z przedmiotu projekt zespołowy prowadzonego w pierwszej połowie ostatniego semestru studiów I stopnia.
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent muszą zamieścić recenzje pracy w systemie APD?,Promotor oraz recenzent zamieszczają recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Jakie przedmioty są wymagane jako wstępne przed zapisaniem się na przedmiot Gry kombinatoryczne?,"Wymaganiami wstępnymi dla przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
Ile maksymalnie punktów można uzyskać za aktywność w czasie wystąpień kolegów na przedmiocie Matematyka popularna?,Za aktywność uczestnika w czasie wystąpień kolegów na przedmiocie Matematyka popularna można uzyskać maksymalnie 20 punktów.
"Jaki jest maksymalny próg dochodowy netto na osobę w rodzinie, aby student mógł ubiegać się o stypendium socjalne?","Maksymalny próg dochodowy netto na osobę w rodzinie, uprawniający studenta do ubiegania się o stypendium socjalne, wynosi 1 908,90 zł."
Czy podczas sprawdzianu student może używać urządzenia komunikacyjnego jako kalkulatora?,Urządzenia umożliwiające komunikację w żadnym wypadku nie mogą służyć jako kalkulatory podczas sprawdzianu.
"Ile punktów ECTS trzeba uzyskać, aby zarejestrować się na drugi semestr na studiach pierwszego stopnia?","Aby zarejestrować się na semestr 2 studiów pierwszego stopnia po zimowej sesji egzaminacyjnej w lutym, należy uzyskać co najmniej 16 ECTS z 30."
W jakiej sytuacji student może ubiegać się o dofinansowanie kosztów odbywania praktyk studenckich?,"Student może ubiegać się o dofinansowanie kosztów zakwaterowania oraz dojazdów w sytuacji, gdy odbywa praktykę studencką poza miejscem swojego stałego zamieszkania oraz poza siedzibą uczelni. Warunkiem otrzymania wsparcia jest odpowiednie udokumentowanie poniesionych kosztów."
Ile punktów ECTS przypisano do przedmiotu Siła nauki - granice poznania?,Do przedmiotu Siła nauki - granice poznania przypisano 4 punkty ECTS.
W jakich pokojach znajduje się gabinet dr. inż. Krzysztofa Kaczmarskiego?,Gabinet dr. inż. Krzysztofa Kaczmarskiego znajduje się w pokoju 28 w Gmachu MiNI na Kampusie Głównym PW.
Na ile dni przed egzaminem dyplomowym promotor i recenzent muszą zamieścić recenzje pracy w systemie APD?,Promotor oraz recenzent muszą zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Jakie przedmioty są wymagane jako wstępne do wzięcia udziału w zajęciach Gry kombinatoryczne?,"Wymaganiami wstępnymi do przedmiotu Gry kombinatoryczne są matematyka dyskretna, algebra liniowa oraz rachunek prawdopodobieństwa."
Do kogo pracownik składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na Wydziale MiNI?,"Sorry, I encountered an error while generating the response."
Pod jakim numerem telefonu należy kontaktować się z dziekanatem w sprawach toku studiów dla kierunku Inżynieria i Analiza Danych?,W sprawach dotyczących kierunku Inżynieria i Analiza Danych należy kontaktować się z dziekanatem pod numerem telefonu 22 234-59-22.
Czy absolwent specjalności Statystyka matematyczna i analiza danych (SMAD) potrafi przeprowadzić nieparametryczną estymację funkcji regresji?,"Tak, absolwent specjalności Statystyka Matematyczna i Analiza Danych posiada odpowiednie kompetencje, ponieważ zna podstawy estymacji nieparametrycznej oraz różne metody wygładzania. Dodatkowo w ramach programu studiów wykłady obejmują metody regresji nieliniowej i nieparametrycznej."
Jaki dokument potwierdzający tożsamość powinien leżeć na stole studenta w trakcie trwania sprawdzianu lub egzaminu?,Na stole studenta powinna leżeć osobista legitymacja studencka lub dowód osobisty.
"Ile minimalnie punktów ECTS należy uzyskać, aby zarejestrować się na 4 semestr studiów pierwszego stopnia?","Aby zarejestrować się na czwarty semestr studiów pierwszego stopnia, należy uzyskać co najmniej 45 punktów ECTS."
Jaki odsetek najlepszych studentów danego kierunku może otrzymać stypendium rektora?,Stypendium rektora przyznawane jest w liczbie nie większej niż 8% liczby wszystkich studentów każdego kierunku studiów prowadzonego w podstawowej jednostce organizacyjnej Uczelni.
Pod jakim numerem telefonu jest dostępne Całodobowe Centrum Kierowania Straży Akademickiej PW?,Całodobowe Centrum Kierowania Straży Akademickiej PW jest dostępne pod numerem telefonu 22 234 66 66 lub pod numerem alarmowym 6666.
Ile punktów można maksymalnie uzyskać za aktywność w czasie wystąpień kolegów na zajęciach z przedmiotu Matematyka popularna?,Za aktywność uczestnika w czasie wystąpień kolegów na zajęciach z przedmiotu Matematyka popularna można uzyskać maksymalnie 20 punktów.
W jaki sposób należy złożyć podanie o urlop zdrowotny?,Podanie o urlop zdrowotny jest dostępne w systemie USOSweb. Urlop ten jest udzielany przez dziekana na podstawie orzeczenia uprawnionego lekarza.
"Czy mogę ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów, jeśli odbywam praktykę poza siedzibą Uczelni i miejscem stałego zamieszkania?","Tak, student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów."
"Ile minimalnie punktów z zadania projektowego trzeba zdobyć, aby zaliczyć przedmiot Wnioskowanie rozmyte?","Aby zaliczyć przedmiot Wnioskowanie rozmyte, wymagane jest uzyskanie minimum 16 punktów z zadania projektowego."
Na ile dni przed terminem egzaminu dyplomowego promotor oraz recenzent muszą zamieścić recenzje w systemie APD?,Promotor oraz recenzent muszą zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Ile czasu czeka się na wydanie duplikatu elektronicznej legitymacji studenckiej (ELS)?,Czas oczekiwania na wydanie duplikatu elektronicznej legitymacji studenckiej wynosi od 7 do 10 dni roboczych.
Z czego składa się część opisowa Zespołowej Pracy Przejściowej (ZPP)?,"Na podstawie dostępnych informacji nie mam danych dotyczących struktury części opisowej Zespołowej Pracy Przejściowej (ZPP). Kontekst zawiera informacje o części opisowej pracy inżynierskiej, która składa się z ogólnego opisu rozwiązywanego zagadnienia oraz indywidualnych opisów, w których każdy z członków zespołu przedstawia wykonany przez siebie fragment pracy."
