query,gold_url,golden_answer_gpt,golden_answer_opus,golden_answer_gemini,skip_reason
czy mam wolne danego dnia,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Podaj proszę konkretną datę oraz informację, czy chodzi o zajęcia studenckie, pracę administracji czy zajęcia dydaktyczne. Najpewniej sprawdzisz to w: kalendarzu roku akademickiego PW, ogłoszeniach dziekana MiNI oraz swoim planie w USOS. Warto też zwrócić uwagę na dni rektorskie/dziekańskie i ewentualne odrabianie zajęć według innego planu.","Nie mam dostępu do Twojego planu zajęć ani kalendarza, więc nie mogę sprawdzić, czy masz wolne danego dnia. Aby to ustalić:

1. **Sprawdź USOSweb** (usosweb.usos.pw.edu.pl) – zakładka „Plan zajęć"".
2. **Zobacz aplikację „Plan zajęć MiNI""** lub harmonogram na stronie wydziału (mini.pw.edu.pl).
3. **Sprawdź kalendarz akademicki** – czy dany dzień nie jest np. dniem rektorskim, świętem lub dniem zamiany (np. piątek wykładany jako poniedziałek).

Jeśli podasz konkretną datę i swój kierunek/semestr, mogę podpowiedzieć ogólnie, czy w tym okresie są zajęcia cz","Aby sprawdzić, czy masz wolne",
harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Harmonogram roku akademickiego na MiNI PW jest ustalany na podstawie kalendarza akademickiego Politechniki Warszawskiej i ewentualnych decyzji dziekana. Znajdziesz w nim m.in. terminy rozpoczęcia i zakończenia semestrów, sesji egzaminacyjnych, przerw świątecznych oraz dni wolnych od zajęć.

Najlepiej sprawdzić aktualny dokument na stronie PW lub Wydziału MiNI, zwykle w sekcji **Studenci → Organizacja roku akademickiego / Harmonogram roku**. Jeśli potrzebujesz konkretnego roku akademickiego, podaj który — np. 2024/2025 albo 2025/2026.","Harmonogram roku akademickiego na MiNI PW jest zgodny z ogólnouczelnianym harmonogramem ustalanym corocznie przez Rektora PW. Standardowo obejmuje:

- **Semestr zimowy:** ok. 1 października – połowa lutego (zajęcia do końca stycznia, sesja na początku lutego, sesja poprawkowa w połowie lutego)
- **Semestr letni:** ok. 20 lutego – koniec czerwca (sesja w czerwcu, sesja poprawkowa we wrześniu)
- **Przerwy:** świąteczna (Boże Narodzenie), wielkanocna, majówka, wakacje letnie (lipiec–wrzesień)

Dokładne daty na bieżący rok akademicki znajdziesz na stronie **www.pw.edu.pl** (zarządzenie",Harmonogram roku akademickiego na Wydziale MiNI,
kiedy mamy wolne,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,Terminy wolnych dni zależą od aktualnego **harmonogramu roku akademickiego PW** oraz ewentualnych **godzin/dni rektorskich lub dziekańskich**. Sprawdź przede wszystkim kalendarz na stronie Politechniki Warszawskiej oraz komunikaty na stronie Wydziału MiNI/USOS. Standardowo wolne są też dni ustawowe oraz przerwy świąteczne i międzysemestralne wskazane w harmonogramie.,"Na MiNI (jak na całej PW) wolne dni wynikają z:

1. **Świąt państwowych** (np. 1 i 11 listopada, 6 stycznia, Boże Ciało, 1 i 3 maja).
2. **Przerw wpisanych do harmonogramu roku akademickiego** – przerwa świąteczna (Boże Narodzenie), zimowa (między semestrami), wielkanocna, sesje i wakacje.
3. **Dni rektorskich i dziekańskich** – ogłaszanych przez Rektora PW lub Dziekana MiNI w trakcie roku (np. juwenalia, Dzień Politechniki).

Dokładny harmonogram znajdziesz w **zarządzeniu Rektora PW o organizacji roku akademickiego** oraz na stronie wydziału MiNI w zakładce „Studenci →",Dokładne terminy dni wolnych,
gdzie mogę znaleźć harmonogram roku akademickiego,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Harmonogram roku akademickiego znajdziesz na stronie Politechniki Warszawskiej oraz zwykle na stronie Wydziału MiNI w sekcji dla studentów, np. „Organizacja roku akademickiego” / „Studia” / „Dla studentów”.  

Warto sprawdzić:
1. stronę główną PW – ogólnouczelniana organizacja roku,
2. stronę MiNI – ewentualne wydziałowe terminy,
3. USOSweb – terminy zajęć, rejestracji i sesji.  

Jeśli masz wątpliwości co do konkretnego terminu, najlepiej potwierdzić go w dziekanacie MiNI.","Harmonogram roku akademickiego znajdziesz w kilku miejscach:

1. **Strona główna PW** (pw.edu.pl) – w zakładce ""Studenci"" → ""Organizacja roku akademickiego"" – obowiązuje dla całej uczelni.
2. **Strona Wydziału MiNI** (mini.pw.edu.pl) – w sekcji dla studentów często publikowane są szczegółowe terminy sesji, dni rektorskich i dziekańskich.
3. **System USOSweb** – w aktualnościach lub w opisach cykli dydaktycznych.

Jeśli czegoś nie znajdziesz, najlepiej napisać do Dziekanatu MiNI – szybko podpowiedzą.",go na głównej stronie uczelni (pw.edu,
jak wygląda kalendarz akademicki w tym semestrze,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"W semestrze letnim zajęcia na PW zwykle trwają od drugiej połowy lutego do połowy czerwca, z pr","Dokładny kalendarz akademicki na bieżący semestr znajdziesz na stronie Politechniki Warszawskiej (zakładka „Kalendarz akademicki"") oraz w komunikatach Dziekanatu MiNI.

W typowym układzie semestr zimowy obejmuje:
- **zajęcia**: od początku października do końca stycznia (z przerwą świąteczną na przełomie grudnia i stycznia),
- **sesja zimowa**: pierwsza połowa lutego,
- **sesja poprawkowa**: druga połowa lutego,
- **przerwa międzysemestralna**: zwykle kilka dni przed startem semestru letniego (zazwyczaj od ok. 20 lutego).

Semestr letni standardowo trwa od końca lutego do połowy czerwca, sesja w drugiej połowie czerwca, a popraw",Szczegółowy kalendarz,
kiedy jest najbliższy dodatkowy dzień wolny,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Najbliższy ustawowy dzień wolny to **Boże Ciało – czwartek, 4 czerwca 2026 r.**  

Jeśli chodzi o **dodatkowe dni wolne od zajęć** na PW/MiNI, warto sprawdzić aktualny **kalendarz roku akademickiego PW** lub komunikaty dziekanatu/rektora, bo takie dni mogą być ustalane osobno.","Nie mam dostępu do bieżącego kalendarza akademickiego MiNI PW, więc nie podam dokładnej daty najbliższego dnia rektorskiego ani dziekańskiego. Aktualne informacje znajdziesz:

- na stronie głównej PW (komunikaty Rektora) – **pw.edu.pl**
- na stronie Wydziału MiNI – **mini.pw.edu.pl** (aktualności / komunikaty Dziekana)
- w systemie USOS w sekcji „Aktualności"" lub w kalendarzu akademickim

Typowo dni wolne ogłaszane są wokół świąt (np. 2 maja, piątek po Bożym Ciele, 24 grudnia) oraz okazjonalnie w innych terminach decyzją Rektora lub Dziekana.",Aby sprawdzić najbliższy dodatkowy dzień wolny,
czy dzień x jest dniem wolnym od zajęć,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"To zależy od konkretnej daty — trzeba sprawdzić **kalendarz roku akademickiego PW** oraz ewentualne komunikaty dziekana MiNI/rektora. Dniami wolnymi od zajęć są zwykle święta ustawowe, przerwy świąteczne, wakacje oraz dodatkowe dni rektorskie lub dziekańskie. Podaj proszę konkretną datę, a pomogę ustalić, czy tego dnia odbywają się zajęcia.","Aby odpowiedzieć precyzyjnie, potrzebuję konkretnej daty – „dzień x"" nie wskazuje konkretnego dnia.

Ogólnie na PW dniami wolnymi od zajęć są:
- święta państwowe i kościelne (np. 1 i 11 listopada, 1 i 3 maja, Boże Ciało, Wielkanoc),
- dni rektorskie i dziekańskie ogłaszane w danym semestrze,
- przerwy świąteczne (świąteczna zimowa i wielkanocna).

Aktualną listę znajdziesz w **organizacji roku akademickiego** na stronie PW oraz w komunikatach Dziekana MiNI. Podaj konkretną datę, a sprawdzę dokładniej.","Aby sprawdzić, czy konkretny dzień jest wolny od",
jaki jest harmonogram roku kiedy środa jest piątkiem itd,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Chodzi o tzw. **dni z zajęciami według planu innego dnia tygodnia** („środa jak piątek” itp.). Dokładne daty są w **harmonogramie/organizacji roku akademickiego PW** na dany rok, zwykle w komunikacie Rektora: strona PW","Na Wydziale MiNI PW (i ogólnie na Politechnice Warszawskiej) co semestr publikowany jest **harmonogram zajęć dydaktycznych** określający, w które dni tygodnia odbywają się zajęcia z innych dni — to tzw. ""dni rektorskie"" lub przesunięcia, które wyrównują liczbę zajęć z poszczególnych dni tygodnia (np. przez święta wypadające w określone dni).

Aktualny harmonogram znajdziesz:
- na stronie głównej PW: **pw.edu.pl** → zakładka ""Studenci"" → ""Organizacja roku akademickiego"",
- lub na stronie Wydziału MiNI: **mini.pw.edu.pl** w sekcji dla studentów.

Tam są dokładnie wypisane daty, kiedy np. środa jest realizowana wg plan","Harmonogram roku akademickiego, w",
kiedy zaczyna się przerwa świąteczna,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Przerwa świąteczna na PW zwykle zaczyna się **23 grudnia** i trwa do początku stycznia, często do **6 stycznia** włącznie.  

Dokładne daty dla danego roku akademickiego najlepiej sprawdzić w **harmonogramie roku akademickiego PW** na stronie uczelni lub wydziału MiNI.",Przerwa świąteczna (bożonarodzeniowa) na Politechnice Warszawskiej zwykle rozpoczyna się około 23 grudnia i trwa do 1–2 stycznia. Dokładne daty są co roku ustalane w zarządzeniu Rektora PW dotyczącym organizacji roku akademickiego — warto sprawdzić aktualny harmonogram na stronie pw.edu.pl lub w dziekanacie MiNI.,"Harmonogram Roku Akademickiego PW).

3.",
zmiany planu zajęć w najbliższym czasie,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Aktualne zmiany planu zajęć najlepiej sprawdzać w systemie planów zajęć MiNI/USOS oraz w komunikatach dziekanatu na stronie wydziału. W pierwszych tygodniach semestru plan może się jeszcze zmieniać, więc warto kontrolować go regularnie, zwłaszcza przed zajęciami.

Jeśli chodzi o zgłoszenie potrzeby zmiany terminu zajęć, zwykle należy:
1. uzgodnić propozycję z prowadzącym,
2. zebrać zgodę grupy,
3. przekazać sprawę do dziekanatu lub osoby odpowiedzialnej za plan.","Zmiany w planie zajęć są publikowane na bieżąco w systemie USOS oraz na stronie wydziału MiNI (mini.pw.edu.pl) w zakładce „Plan zajęć” lub w aktualnościach. Najbardziej aktualny plan znajdziesz też w aplikacji Plan zajęć PW.

Kilka wskazówek:
- Sprawdzaj USOSweb i e-mail w domenie @pw.edu.pl – tam trafiają oficjalne komunikaty od prowadzących i dziekanatu.
- O zmianach w konkretnym przedmiocie informuje zwykle wykładowca przez USOS-Mail lub Teams/MS Teams.
- W razie kolizji lub niejasności kontaktuj się z dziekanatem ds. studenckich MiNI.

Nie mam dostępu do bieżąc","zajęcia jak w piątek"").

3.",
gdzie znajdę podanie o zmianę grupy/zapis na przedmiot,https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/,"Formularz podania znajdziesz zwykle na stronie Wydziału MiNI w zakładce **Studenci → Dziekanat / Dokumenty / Podania i formularze**.  

W praktyce:
1. pobierz wzór podania lub złóż wniosek przez **USOSweb**, jeśli taka opcja jest dostępna,  
2. wpisz konkretny przedmiot/grupę i uzasadnienie,  
3. uzyskaj zgodę prowadzącego/koordynatora, jeśli jest wymagana,  
4. złóż podanie w dziekanacie lub przez system wskazany na stronie wydziału.  

Warto też napisać bezpośrednio do dziekanatu MiNI, bo przy zapisach na przedmioty często obowiązują aktualne terminy i limity miejsc.","Podania dotyczące zmiany grupy lub zapisu na przedmiot znajdziesz zazwyczaj w następujących miejscach:

1. **Strona Dziekanatu MiNI** (mini.pw.edu.pl) – zakładka „Studenci"" → „Druki i podania"" lub „Dokumenty do pobrania"".
2. **System USOS** – w zakładce „Dla studentów"" → „Podania"" można złożyć niektóre podania elektronicznie.
3. **Sekcja toku studiów** w dziekanacie – wzory papierowe.

Wskazówki praktyczne:
- Podanie o **zmianę grupy** kierujesz zwykle do prowadzącego przedmiot lub kierownika przedmiotu (czasem wystarczy mailowa zgoda obu stron przy zamianie).
- Podanie o **dopisanie/zap","Wzory podań, w",
podanie o zapis na przedmiot,https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/,"Aby złożyć podanie o zapis na przedmiot na Wydziale MiNI PW, najczęściej należy zrobić to przez **USOSweb → Dla studentów → Podania** albo zgodnie z instrukcją dziekanatu, jeśli sprawa wymaga wersji mailowej/papierowej. W podaniu podaj: imię i nazwisko, numer albumu, kierunek, semestr, nazwę i kod przedmiotu, grupę/termin zajęć oraz krótkie uzasadnienie, np. brak możliwości samodzielnego zapisu, kolizja lub konieczność uzupełnienia różnic programowych. Warto wcześniej uzyskać zgodę prowadzącego lub koordynatora przedmiotu, jeśli liczba miejsc jest ograniczona. Po złożeniu podania sprawdzaj status w USOS albo kontaktuj się z dziekanatem MiNI.","**Podanie o zapis na przedmiot** składasz na MiNI zazwyczaj w następujących sytuacjach: brak miejsc w USOSweb, kolizja w planie, zapis poza wydziałem lub po terminie rejestracji.

**Kluczowe kroki:**
1. Pobierz formularz podania ze strony Dziekanatu MiNI (zakładka „Dokumenty do pobrania”) lub wykorzystaj wniosek ogólny w USOSweb (moduł *Podania*).
2. Uzyskaj **zgodę prowadzącego przedmiot** (podpis lub mail) — to często warunek konieczny.
3. Jeśli przedmiot jest z innego wydziału — potrzebna zgoda kierownika tamtego przedmiotu/dziekana.
4. Złóż podanie w dziekanacie (osobiście,",Aby zapisać się na przedmiot po terminie standard,
jaki jest plan studiów magisterskich na kierunku informatyka i systemy informacyjne,https://ww2.mini.pw.edu.pl/studia/magisterskie/informatyka/,,"Studia magisterskie na kierunku **Informatyka i Systemy Informacyjne** (ISI) na MiNI PW trwają **3 semestry** (tryb stacjonarny) i kończą się pracą dyplomową magisterską.

**Ogólna struktura planu:**
- **Semestr 1–2:** przedmioty obowiązkowe (m.in. zaawansowane algorytmy, metody probabilistyczne/statystyczne, inżynieria oprogramowania, bazy danych zaawansowane) + przedmioty specjalnościowe.
- **Semestr 3:** głównie seminarium dyplomowe, pracownia magisterska i praca dyplomowa.

**Specjalności na ISI** (do wyboru):
1. **Sztuczna inteligencja** (AI)
2. **Inżynieria oprogramowania i systemy informacyjne**",Plan studiów magisterskich na,
jak wypadają dni rektorskie w tym roku akademickim,https://www.pw.edu.pl/studia/harmonogram-roku-akademickiego,"Dni rektorskie na PW są wskazane w dokumencie **„Organizacja roku akademickiego 2025/2026”** oraz mogą być dodatkowo ogłaszane komunikatami Rektora. Najpewniej sprawdzisz je na stronie PW w zakładce dotyczącej **organizacji roku akademickiego** albo w aktualnościach Wydziału MiNI. Jeśli chodzi Ci o konkretne daty zajęć odwołanych na MiNI, warto też sprawdzić USOS/komunikaty dziekanatu, bo niektóre decyzje mogą dotyczyć tylko określonych godzin lub wydarzeń.","Niestety nie mam dostępu do aktualnego harmonogramu roku akademickiego PW ani do bieżących zarządzeń Rektora dotyczących dni wolnych. Dni rektorskie ustala Rektor PW odrębnymi zarządzeniami, zazwyczaj w okolicach świąt (np. 2 maja, piątek po Bożym Ciele, dni okołoświąteczne w grudniu) lub przy okazji wydarzeń uczelnianych typu Juwenalia.

Aktualne informacje znajdziesz tu:
- **BIP PW** – zarządzenia Rektora,
- strona **www.pw.edu.pl** w aktualnościach,
- strona Wydziału MiNI (www.mini.pw.edu.pl) – zwykle dziekanat publikuje przypomnienia,
- USOS / sekcja dziekan",Dokładne daty dni re,
